,Strain Name,Type,Rating,Rating Users,Top Terpene,Feeling_1,Negative_1,Helps with_1,Feeling_2,Negative_2,Helps with_2,Feeling_3,Negative_3,Helps with_3,Feeling_4,Negative_4,Helps with_4,Feeling_5,Negative_5,Helps with_5,THC,CBD,Flavor_1,Flavor_2,Flavor_3
0,Lucid Dream,Hybrid,4.6,108.0,Myrcene,Uplifted,Dry mouth,Depression,Happy,Dry eyes,Anxiety,Energetic,Paranoid,Stress,Euphoric,Anxious,Pain,Creative,Headache,Fatigue,20.0,11.0,Berry,Blueberry,Sage
1,Black Magic,Indica,4.5,17.0,Myrcene,Relaxed,Dry mouth,Anxiety,Happy,Dry eyes,Migraines,Euphoric,,Fatigue,Sleepy,,Insomnia,Focused,,Lack of appetite,18.0,0.0,Earthy,,
2,NYC Diesel,Hybrid,4.2,939.0,Myrcene,Happy,Dry mouth,Stress,Uplifted,Dry eyes,Anxiety,Euphoric,Paranoid,Depression,Relaxed,Dizzy,Pain,Energetic,Headache,Nausea,18.0,4.0,Diesel,Earthy,Grapefruit
3,Sour Sunset,Hybrid,4.7,49.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Depression,Euphoric,Anxious,Anxiety,Uplifted,Dizzy,Headaches,Focused,Headache,Pain,18.0,6.0,Pungent,Lemon,TreeFruit
4,Purple Chemdawg,Indica,4.5,170.0,Caryophyllene,Relaxed,Dry mouth,Pain,Euphoric,Dry eyes,Stress,Happy,Dizzy,Anxiety,Uplifted,Headache,Depression,Sleepy,Anxious,Insomnia,17.0,7.0,Chemical,Grape,Diesel
5,Vortex,Sativa,4.3,272.0,Myrcene,Euphoric,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Uplifted,Dizzy,Depression,Energetic,Headache,Pain,Creative,Paranoid,Fatigue,16.0,0.0,Citrus,Lemon,Tropical
6,Gutbuster,Indica,4.7,17.0,Limonene,Relaxed,Anxious,Stress,Euphoric,Dry eyes,Depression,Tingly,Dry mouth,Insomnia,Giggly,Paranoid,Pain,Creative,,Anxiety,18.0,14.0,Berry,Vanilla,Woody
7,Exodus Cheese,Hybrid,4.2,139.0,Pinene,Happy,Dry mouth,Stress,Relaxed,Dry eyes,Pain,Euphoric,Dizzy,Depression,Uplifted,Anxious,Anxiety,Focused,Paranoid,Insomnia,17.0,6.0,Cheese,Blueberry,Pungent
8,Strawberry Ice,Sativa,4.6,65.0,Myrcene,Focused,Dry mouth,Stress,Happy,Dizzy,Depression,Euphoric,Dry eyes,Fatigue,Uplifted,Paranoid,Anxiety,Energetic,Anxious,Lack of appetite,18.0,0.0,Strawberry,Sweet,Berry
9,Riddler OG,Hybrid,4.7,7.0,Myrcene,Happy,Dizzy,Lack of appetite,Uplifted,Dry eyes,Pain,Talkative,Dry mouth,Cramps,Tingly,,Depression,Focused,,Fatigue,18.0,10.0,Flowery,Earthy,Pungent
10,Brian Berry Cough,Hybrid,4.5,42.0,Myrcene,Happy,Dry mouth,Depression,Relaxed,Dry eyes,Stress,Euphoric,Anxious,Anxiety,Uplifted,Dizzy,Headaches,Energetic,Paranoid,Nausea,17.0,0.0,Strawberry,Plum,Berry
11,Blue Galaxy,Hybrid,4.7,13.0,Myrcene,Happy,Dry mouth,Depression,Relaxed,Dry eyes,Pain,Uplifted,,Stress,Hungry,,Headaches,Giggly,,ADD,23.0,4.0,Sweet,Berry,Tropical
12,Elphinstone,Sativa,4.5,6.0,Caryophyllene,Uplifted,Anxious,Depression,Happy,Dry mouth,Stress,Focused,Dry eyes,Fatigue,Euphoric,Dizzy,Pain,Energetic,,ADD,21.0,0.0,Citrus,Sweet,Skunk
13,Hippie Crippler,Hybrid,4.3,146.0,Myrcene,Happy,Dry mouth,Stress,Uplifted,Dry eyes,Depression,Euphoric,Dizzy,Anxiety,Relaxed,Anxious,Pain,Energetic,Headache,Lack of appetite,18.0,1.0,Earthy,Sweet,Pine
14,Ghost Ship,Indica,4.6,18.0,Caryophyllene,Relaxed,Dry mouth,Stress,Euphoric,Dry eyes,Insomnia,Sleepy,Dizzy,Pain,Happy,,Depression,Uplifted,,Anxiety,16.0,0.0,Pine,Earthy,Sweet
15,Sapphire OG,Hybrid,4.4,8.0,Caryophyllene,Relaxed,Anxious,Depression,Sleepy,Paranoid,Pain,Happy,,,Euphoric,,,Uplifted,,,19.0,0.0,Earthy,,
16,Sour Amnesia,Sativa,4.6,124.0,Caryophyllene,Happy,Dry mouth,Depression,Uplifted,Dry eyes,Stress,Euphoric,Anxious,Anxiety,Energetic,Paranoid,Pain,Creative,Dizzy,Fatigue,20.0,6.0,Diesel,Earthy,Sweet
17,Space Jill,Sativa,3.5,23.0,Myrcene,Focused,Dry mouth,Pain,Creative,Dry eyes,Stress,Uplifted,Dizzy,Migraines,Energetic,Paranoid,Depression,Euphoric,,Fatigue,17.0,0.0,Sweet,,
18,Amethyst,Hybrid,4.3,12.0,Caryophyllene,Happy,Dry mouth,Stress,Uplifted,Dry eyes,Anxiety,Relaxed,,Depression,Euphoric,,Pain,Energetic,,PTSD,16.0,7.0,Sweet,,
19,Phantom OG,Indica,4.3,134.0,Caryophyllene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Stress,Euphoric,Dizzy,Insomnia,Sleepy,Headache,Anxiety,Uplifted,Paranoid,Depression,18.0,0.0,Earthy,Lemon,Mint
20,Liberty Haze,Hybrid,4.4,281.0,Myrcene,Happy,Dry mouth,Stress,Relaxed,Dry eyes,Depression,Euphoric,Dizzy,Anxiety,Uplifted,Anxious,Pain,Energetic,Paranoid,Lack of appetite,20.0,0.0,Lemon,Earthy,Citrus
21,Club 69,Indica,5.0,3.0,Limonene,Sleepy,Dizzy,Depression,Relaxed,Dry eyes,Pain,Hungry,Dry mouth,Stress,,,,,,,20.0,0.0,Flowery,Sweet,Berry
22,Double Dutch,Hybrid,4.2,21.0,Myrcene,Uplifted,Dry mouth,Stress,Relaxed,Dizzy,Depression,Hungry,,Insomnia,Happy,,Anxiety,Talkative,,Arthritis,18.0,0.0,Tar,Sweet,Pungent
23,Blue Dot,Sativa,4.7,49.0,Myrcene,Energetic,Dry mouth,Stress,Uplifted,Headache,Depression,Happy,Anxious,Anxiety,Euphoric,Dry eyes,Pain,Focused,Paranoid,Fatigue,20.0,1.0,Earthy,Honey,Vanilla
24,Birthday Cake,Hybrid,4.5,435.0,Caryophyllene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Euphoric,Anxious,Depression,Uplifted,Dizzy,Pain,Sleepy,Paranoid,Insomnia,20.0,14.0,Earthy,,
25,Strawberry Fields,Indica,4.6,167.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Euphoric,Headache,Pain,Uplifted,Anxious,Depression,Sleepy,Paranoid,Insomnia,18.0,0.0,Strawberry,Sweet,Berry
26,Vader OG,Indica,4.5,33.0,Limonene,Relaxed,Anxious,Stress,Sleepy,Dizzy,Insomnia,Happy,Dry eyes,Pain,Euphoric,,Depression,Hungry,,Fatigue,19.0,9.0,Sweet,Earthy,Flowery
27,Durban Berry,Hybrid,4.7,29.0,Myrcene,Happy,Dry mouth,Stress,Relaxed,Dry eyes,Depression,Creative,,Anxiety,Uplifted,,Fatigue,Focused,,Headaches,17.0,1.0,Berry,Sweet,Blueberry
28,Night Train,Indica,4.0,13.0,Terpinolene,Relaxed,Anxious,Insomnia,Tingly,Dizzy,Pain,Sleepy,Dry eyes,Headaches,Euphoric,Dry mouth,Muscle spasms,Uplifted,Headache,Stress,24.0,1.0,Pungent,Woody,Nutty
29,Sweet & Sour Cindy,Hybrid,5.0,2.0,Myrcene,Giggly,Dry mouth,Cramps,Energetic,Paranoid,Headaches,Creative,,ADD,Aroused,,Alzheimer,,,,16.0,0.0,Grape,Grapefruit,
30,J-27,Sativa,3.9,33.0,Myrcene,Energetic,Dry mouth,Stress,Uplifted,Paranoid,Anxiety,Focused,Anxious,Pain,Happy,Dry eyes,Depression,Euphoric,Dizzy,ADD,19.0,0.0,Pungent,Citrus,Orange
31,Jack Kush,Hybrid,4.1,36.0,Terpinolene,Euphoric,Dry eyes,Stress,Happy,Dry mouth,Depression,Hungry,Dizzy,Pain,Relaxed,Anxious,Anxiety,Uplifted,Headache,Inflammation,18.0,0.0,Sweet,Citrus,Pungent
32,Mango Habanero,Hybrid,4.0,3.0,Myrcene,Focused,Dry eyes,Depression,Happy,Dry mouth,Inflammation,Euphoric,,Nausea,Energetic,,Pain,Creative,,Stress,21.0,9.0,Spicy/Herbal,Mango,Rose
33,Mountain Girl,Hybrid,4.6,12.0,Myrcene,Happy,Dry eyes,Depression,Uplifted,Dizzy,Fatigue,Relaxed,Dry mouth,Stress,Focused,,Anxiety,Euphoric,,PTSD,17.0,7.0,Earthy,Diesel,TreeFruit
34,White Diesel,Hybrid,4.2,64.0,Myrcene,Relaxed,Dry mouth,Stress,Uplifted,Dry eyes,Anxiety,Euphoric,Dizzy,Pain,Focused,Anxious,Depression,Creative,Headache,Lack of appetite,18.0,8.0,Diesel,Flowery,Earthy
35,Gelato #33,Hybrid,4.6,191.0,Caryophyllene,Happy,Dry mouth,Stress,Relaxed,Dry eyes,Anxiety,Uplifted,Dizzy,Depression,Euphoric,Anxious,Pain,Focused,Headache,Muscle spasms,19.0,1.0,Citrus,Sweet,Pungent
36,GG4,Hybrid,4.6,4612.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Euphoric,Dizzy,Depression,Uplifted,Paranoid,Anxiety,Sleepy,Anxious,Insomnia,18.0,0.0,Mint,,
37,Moonwalker Kush,Hybrid,4.9,20.0,,Relaxed,Dry eyes,Insomnia,Happy,Dry mouth,Lack of appetite,Euphoric,,Stress,Focused,,Anxiety,Giggly,,PTSD,22.0,2.0,Earthy,Tropical,Pine
38,Sweet Tooth,Indica,4.2,625.0,Myrcene,Happy,Dry mouth,Stress,Relaxed,Dry eyes,Anxiety,Euphoric,Paranoid,Pain,Uplifted,Dizzy,Depression,Creative,Anxious,Insomnia,18.0,4.0,Sweet,Flowery,Berry
39,Motavation,Indica,3.7,18.0,Caryophyllene,Relaxed,Dry eyes,Pain,Creative,Dry mouth,Headaches,Happy,Dizzy,Insomnia,Focused,Anxious,Muscle spasms,Euphoric,Paranoid,Nausea,18.0,6.0,Pungent,Sweet,Lemon
40,Gelato,Hybrid,4.6,1904.0,Caryophyllene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Euphoric,Dizzy,Depression,Uplifted,Paranoid,Pain,Creative,Anxious,Insomnia,17.0,1.0,Sweet,Citrus,Earthy
41,Kraken,Indica,4.4,34.0,Myrcene,Relaxed,Dry eyes,Insomnia,Sleepy,Dry mouth,Stress,Euphoric,Paranoid,Pain,Happy,Anxious,Muscle spasms,Talkative,Dizzy,Anxiety,20.0,0.0,Earthy,Pungent,Spicy/Herbal
42,First 48,Hybrid,4.3,28.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Paranoid,Depression,Uplifted,Dizzy,Anxiety,Euphoric,Dry eyes,Pain,Focused,,PTSD,20.0,0.0,Citrus,Earthy,Lemon
43,Blob OG,Hybrid,4.7,12.0,Caryophyllene,Uplifted,Dry mouth,Depression,Talkative,Dry eyes,Stress,Relaxed,Headache,Headaches,Happy,Dizzy,Pain,Euphoric,,PTSD,23.0,0.0,Pine,Citrus,Earthy
44,Afghanimal,Indica,4.5,2.0,Caryophyllene,Sleepy,Anxious,Eye pressure,Relaxed,Dry eyes,Headaches,Hungry,Dry mouth,Insomnia,Focused,,Nausea,,,Pain,20.0,4.0,Citrus,Skunk,
45,Pink Starburst,Hybrid,4.3,40.0,Myrcene,Uplifted,Dry mouth,Stress,Euphoric,Anxious,Anxiety,Relaxed,Dizzy,Depression,Happy,Dry eyes,Eye pressure,Creative,Headache,Fatigue,18.0,0.0,Sweet,Flowery,Tropical
46,Grandpa’s Stash,Hybrid,4.5,44.0,Myrcene,Relaxed,Anxious,Anxiety,Happy,Dry eyes,Depression,Euphoric,Dry mouth,Stress,Uplifted,Headache,Pain,Creative,,Insomnia,19.0,0.0,Earthy,,
47,Shurman,Hybrid,4.7,9.0,Myrcene,Relaxed,Dizzy,Eye pressure,Uplifted,Dry mouth,Pain,Sleepy,Headache,Stress,Happy,,Headaches,Focused,,ADD,20.0,0.0,Earthy,Citrus,Flowery
48,American Beauty,Indica,5.0,2.0,Myrcene,Uplifted,Dry eyes,Cramps,Sleepy,Dry mouth,Depression,Relaxed,,Fatigue,Hungry,,Headaches,Happy,,Inflammation,17.0,0.0,Tropical,Mango,Peach
49,Lime Haze,Sativa,4.1,34.0,Terpinolene,Happy,Dry eyes,Stress,Euphoric,Dry mouth,Anxiety,Uplifted,Dizzy,Headaches,Energetic,Anxious,Nausea,Creative,Headache,Depression,19.0,0.0,Lime,Sweet,Citrus
50,Cindy White,Hybrid,4.3,53.0,Caryophyllene,Uplifted,Dry mouth,Stress,Happy,Anxious,Anxiety,Euphoric,Headache,Depression,Relaxed,,Insomnia,Energetic,,Pain,23.0,0.0,Earthy,Pungent,Sweet
51,Purple Hindu Kush,Indica,4.7,247.0,Limonene,Relaxed,Dry mouth,Stress,Sleepy,Dry eyes,Insomnia,Happy,Dizzy,Pain,Euphoric,Anxious,Anxiety,Hungry,Paranoid,Depression,20.0,0.0,Grape,Earthy,Woody
52,Grape Drink,Indica,4.5,8.0,Myrcene,Tingly,Dry eyes,Depression,Sleepy,Paranoid,Pain,Happy,,Stress,Giggly,,Eye pressure,Talkative,,Fatigue,21.0,14.0,Grape,Sweet,Flowery
53,Monster Cookies,Indica,4.6,343.0,Caryophyllene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Euphoric,Dizzy,Anxiety,Sleepy,Paranoid,Insomnia,Uplifted,Anxious,Depression,19.0,7.0,Earthy,Berry,Grape
54,9 lb Hammer,Indica,4.6,969.0,Myrcene,Relaxed,Dry mouth,Pain,Sleepy,Dry eyes,Stress,Euphoric,Dizzy,Insomnia,Happy,Headache,Anxiety,Hungry,Anxious,Depression,18.0,8.0,Earthy,,
55,Critical Kali Mist,Sativa,4.3,21.0,Myrcene,Uplifted,Dry mouth,Depression,Euphoric,Dizzy,Stress,Happy,Paranoid,ADD,Tingly,,Anxiety,Relaxed,,Eye pressure,18.0,9.0,Earthy,Sweet,Pine
56,Elderberry,Hybrid,4.0,27.0,Caryophyllene,Relaxed,Dry mouth,Pain,Sleepy,Dizzy,Insomnia,Happy,Dry eyes,Stress,Giggly,Anxious,Depression,Hungry,Headache,Headaches,17.0,0.0,Mint,,
57,Easy Peezy,Hybrid,4.5,4.0,Myrcene,Relaxed,Dizzy,Depression,Uplifted,Dry eyes,Pain,Happy,,Stress,Euphoric,,Fatigue,Creative,,Headaches,18.0,1.0,Lemon,Spicy/Herbal,Earthy
58,Lost Coast,Hybrid,4.4,91.0,Limonene,Relaxed,Dry mouth,Stress,Uplifted,Anxious,Anxiety,Euphoric,Dizzy,Depression,Happy,Dry eyes,Pain,Focused,Headache,Fatigue,19.0,0.0,Earthy,,
59,Mountain Temple,Sativa,4.5,4.0,Pinene,Uplifted,Anxious,Depression,Tingly,Dry mouth,Fatigue,Talkative,,Nausea,Relaxed,,Pain,Happy,,Stress,18.0,0.0,Earthy,,
60,Fruitylicious,Indica,4.1,14.0,Pinene,Relaxed,Dizzy,Headaches,Happy,Dry mouth,Insomnia,Euphoric,,Pain,Uplifted,,Stress,Tingly,,ADD,16.0,1.0,Sweet,Blueberry,Earthy
61,WMD,Indica,4.8,20.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Uplifted,,Depression,Tingly,,Anxiety,Sleepy,,Headaches,18.0,11.0,Berry,Sweet,Earthy
62,Alien Walker,Hybrid,4.6,162.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Euphoric,Anxious,Depression,Uplifted,Dizzy,Insomnia,Creative,Headache,Anxiety,18.0,0.0,Diesel,Earthy,Pine
63,Devil's Tit,Sativa,4.4,16.0,Caryophyllene,Focused,Anxious,Headaches,Energetic,Dry eyes,Stress,Happy,Dry mouth,ADD,Euphoric,Paranoid,Depression,Creative,,Cramps,18.0,1.0,Citrus,,
64,Super Lemon OG,Hybrid,4.3,73.0,Caryophyllene,Happy,Dry mouth,Depression,Relaxed,Dizzy,Pain,Uplifted,Dry eyes,Stress,Euphoric,Anxious,Anxiety,Creative,,Muscle spasms,20.0,0.0,Lemon,Diesel,Citrus
65,Mandarin Sunset,Indica,4.8,40.0,Myrcene,Relaxed,Dry mouth,Depression,Happy,Dry eyes,Pain,Sleepy,Anxious,Stress,Euphoric,Dizzy,Anxiety,Uplifted,Paranoid,Insomnia,19.0,0.0,Sweet,Citrus,Orange
66,Critical 47,Hybrid,4.3,22.0,Myrcene,Relaxed,Dry mouth,Insomnia,Happy,Dizzy,Stress,Giggly,Dry eyes,Depression,Talkative,,Pain,Euphoric,,Inflammation,17.0,1.0,Earthy,Mango,Skunk
67,Fire Alien Romulan,Hybrid,5.0,2.0,Myrcene,Uplifted,Dizzy,Eye pressure,Tingly,Paranoid,Fatigue,Sleepy,,Muscle spasms,Relaxed,,Pain,Euphoric,,Spasticity,16.0,0.0,Earthy,,
68,Dolato,Indica,4.6,51.0,Limonene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Stress,Euphoric,,Anxiety,Creative,,Depression,Uplifted,,Headaches,19.0,0.0,Earthy,,
69,Corleone Kush The Don Cut,Hybrid,5.0,7.0,Myrcene,Happy,Dizzy,Pain,Relaxed,Dry mouth,Headaches,Aroused,,Inflammation,Sleepy,,Muscle spasms,Giggly,,Stress,21.0,9.0,Earthy,,
70,Purple Champagne,Sativa,4.4,51.0,Myrcene,Uplifted,Dry mouth,Depression,Euphoric,Dry eyes,Stress,Relaxed,Dizzy,Lack of appetite,Happy,,Pain,Focused,,Anxiety,18.0,7.0,Grape,Berry,Sweet
71,Silvertip,Hybrid,4.5,131.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Uplifted,Anxious,Depression,Euphoric,Headache,Anxiety,Creative,,Fatigue,21.0,7.0,Grape,,
72,Sour Breath,Sativa,4.2,21.0,Limonene,Happy,Dry eyes,Stress,Focused,Dry mouth,Depression,Creative,Anxious,Cramps,Uplifted,Paranoid,Eye pressure,Energetic,,ADD,22.0,6.0,Pungent,Sweet,Earthy
73,Purple Nepal,Indica,4.2,66.0,Myrcene,Relaxed,Dry mouth,Insomnia,Sleepy,Dry eyes,Stress,Happy,Dizzy,Pain,Euphoric,Headache,Anxiety,Hungry,Paranoid,Depression,18.0,0.0,Pungent,Sweet,Grape
74,Sour Kush,Hybrid,4.2,625.0,Myrcene,Happy,Dry mouth,Stress,Relaxed,Dry eyes,Pain,Uplifted,Dizzy,Depression,Euphoric,Paranoid,Anxiety,Creative,Anxious,Lack of appetite,19.0,6.0,Diesel,Earthy,Pungent
75,Dr. Funk,Indica,4.6,43.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Insomnia,Euphoric,,Pain,Uplifted,,Anxiety,Sleepy,,Depression,15.0,1.0,Berry,Blueberry,Earthy
76,Bodega Bubblegum,Hybrid,4.5,21.0,Myrcene,Relaxed,Dry eyes,Anxiety,Happy,Dry mouth,Depression,Uplifted,,Stress,Giggly,,Insomnia,Euphoric,,Lack of appetite,17.0,11.0,Sweet,,
77,Mother Tongue,Sativa,4.5,31.0,Myrcene,Happy,Dry mouth,Stress,Euphoric,Anxious,Fatigue,Uplifted,Dry eyes,Lack of appetite,Focused,Dizzy,Inflammation,Energetic,Paranoid,ADD,18.0,0.0,Pungent,Woody,Cheese
78,Magellan,Hybrid,4.8,12.0,Caryophyllene,Euphoric,Dry mouth,Stress,Happy,Anxious,Depression,Energetic,Dizzy,Fatigue,Creative,Paranoid,Headaches,Uplifted,,Nausea,20.0,2.0,Diesel,Berry,Strawberry
79,Cherry Wine,Hybrid,4.7,38.0,Myrcene,Relaxed,Dry eyes,Stress,Euphoric,Dry mouth,Pain,Happy,Headache,Anxiety,Uplifted,Paranoid,Depression,Focused,,Inflammation,25.0,17.0,Earthy,,
80,Predator Pink,Hybrid,4.5,42.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Depression,Euphoric,Paranoid,Lack of appetite,Uplifted,Dizzy,Pain,Sleepy,,Anxiety,12.0,0.0,Sweet,Tropical,Earthy
81,Jamaican Dream,Sativa,4.4,96.0,Myrcene,Happy,Dry mouth,Stress,Uplifted,Anxious,Depression,Energetic,Dizzy,Anxiety,Relaxed,Dry eyes,Pain,Euphoric,Headache,PTSD,17.0,5.0,Earthy,Tropical,Woody
82,Bubble Gum,Hybrid,4.1,1156.0,Myrcene,Happy,Dry mouth,Stress,Euphoric,Dry eyes,Depression,Relaxed,Dizzy,Anxiety,Uplifted,Paranoid,Pain,Creative,Headache,Insomnia,17.0,0.0,Sweet,Flowery,Earthy
83,White Walrus,Hybrid,2.5,2.0,Myrcene,Uplifted,Dry eyes,Cramps,Talkative,Dry mouth,Fatigue,Happy,Paranoid,PMS,Euphoric,,,Energetic,,,17.0,1.0,Earthy,,
84,Buddha Haze,Sativa,4.6,46.0,Linalool,Uplifted,Dry mouth,Depression,Happy,Dry eyes,Stress,Euphoric,Anxious,Pain,Energetic,Dizzy,Lack of appetite,Creative,Paranoid,Anxiety,25.0,0.0,Earthy,Sweet,Flowery
85,Island Sweet Skunk,Sativa,4.2,900.0,Myrcene,Happy,Dry mouth,Stress,Uplifted,Dry eyes,Depression,Energetic,Paranoid,Pain,Euphoric,Dizzy,Anxiety,Creative,Anxious,Fatigue,16.0,6.0,Sweet,Skunk,Tropical
86,Tillamook Strawberry,Hybrid,4.5,47.0,Myrcene,Happy,Dry mouth,Anxiety,Uplifted,Anxious,Stress,Relaxed,,PTSD,Focused,,Depression,Euphoric,,Bipolar disorder,15.0,0.0,Strawberry,Diesel,Chemical
87,Freezeland,Indica,3.5,44.0,,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Depression,Euphoric,Anxious,Insomnia,Hungry,Paranoid,Lack of appetite,Sleepy,Headache,Pain,10.0,0.0,Sweet,Woody,Earthy
88,Russian Assassin,Indica,4.8,25.0,Limonene,Euphoric,Dry mouth,Anxiety,Relaxed,Anxious,Pain,Uplifted,Dry eyes,Fatigue,Sleepy,Headache,Lack of appetite,Happy,Paranoid,Nausea,20.0,0.0,Earthy,Diesel,Woody
89,OG Trainwreck,Hybrid,4.2,58.0,Myrcene,Happy,Dry mouth,Pain,Euphoric,Dry eyes,Stress,Uplifted,Anxious,Anxiety,Energetic,Paranoid,Depression,Hungry,Headache,Insomnia,17.0,1.0,Earthy,,
90,Whiteout,Hybrid,4.7,9.0,Pinene,Happy,Dry mouth,ADD,Focused,Dry eyes,Anxiety,Euphoric,,Arthritis,Uplifted,,Bipolar disorder,Relaxed,,,28.0,9.0,Sweet,Citrus,Orange
91,Jean Guy,Hybrid,4.4,302.0,Caryophyllene,Happy,Dry mouth,Stress,Euphoric,Dry eyes,Pain,Uplifted,Dizzy,Anxiety,Energetic,Paranoid,Depression,Creative,Anxious,Fatigue,17.0,8.0,Woody,Citrus,Earthy
92,Pink Kush,Hybrid,4.5,722.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Euphoric,Dizzy,Depression,Sleepy,Paranoid,Insomnia,Uplifted,Anxious,Anxiety,18.0,0.0,Sweet,Flowery,Earthy
93,Zelda,Hybrid,4.8,14.0,Caryophyllene,Relaxed,Dry mouth,Depression,Happy,Dry eyes,Headaches,Uplifted,,Insomnia,Tingly,,Stress,Euphoric,,Anxiety,19.0,0.0,Earthy,Sweet,Spicy/Herbal
94,Master OG,Indica,4.4,88.0,Caryophyllene,Relaxed,Dry mouth,Stress,Sleepy,Dry eyes,Insomnia,Hungry,Anxious,Pain,Uplifted,Dizzy,Lack of appetite,Euphoric,Paranoid,Depression,18.0,10.0,Earthy,Pine,Woody
95,Fire OG,Hybrid,4.4,1139.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Euphoric,Dizzy,Depression,Uplifted,Paranoid,Pain,Hungry,Anxious,Insomnia,19.0,0.0,Lemon,Earthy,Pungent
96,Critical Cheese,Hybrid,4.3,56.0,Caryophyllene,Happy,Dry mouth,Stress,Euphoric,Dry eyes,Anxiety,Uplifted,Anxious,Depression,Relaxed,Paranoid,Pain,Energetic,,Fatigue,16.0,0.0,Cheese,Citrus,Earthy
97,Maui Mango Diesel,Hybrid,4.4,25.0,Myrcene,Happy,Dry mouth,Depression,Uplifted,Paranoid,Stress,Euphoric,Anxious,Fatigue,Relaxed,Dry eyes,Insomnia,Energetic,,Headaches,18.0,11.0,Mango,Citrus,Sweet
98,Cherry Sherbet,Hybrid,4.3,34.0,Myrcene,Relaxed,Dry eyes,Stress,Happy,Dry mouth,Pain,Euphoric,Dizzy,Depression,Aroused,Paranoid,Anxiety,Uplifted,Anxious,Cramps,16.0,14.0,Sweet,Berry,Flowery
99,White LSD,Sativa,4.9,14.0,Myrcene,Happy,Dry eyes,Depression,Euphoric,Dry mouth,Fatigue,Uplifted,,Pain,Energetic,,Stress,Relaxed,,Anxiety,16.0,0.0,Diesel,Spicy/Herbal,Butter
100,Bedford Glue,Hybrid,4.6,5.0,Caryophyllene,Happy,Dizzy,Inflammation,Euphoric,Dry mouth,Muscle spasms,Uplifted,,Pain,Relaxed,,,Giggly,,,16.0,0.0,Earthy,Woody,Ammonia
101,Locomotion,Indica,4.5,69.0,Limonene,Relaxed,Dry mouth,Stress,Euphoric,Dizzy,Pain,Happy,Dry eyes,Depression,Uplifted,Anxious,Insomnia,Sleepy,Paranoid,Anxiety,18.0,0.0,Earthy,Sweet,Diesel
102,Dragon's Breath,Hybrid,4.5,104.0,Caryophyllene,Happy,Dry mouth,Anxiety,Uplifted,Paranoid,Depression,Euphoric,Dry eyes,Stress,Relaxed,Anxious,Pain,Creative,Dizzy,Fatigue,17.0,6.0,Citrus,,
103,Crystalberry,Indica,4.7,6.0,Myrcene,Relaxed,Dry eyes,Cramps,Aroused,Dry mouth,Insomnia,Uplifted,,Nausea,Sleepy,,Pain,Hungry,,Stress,21.0,6.0,Sweet,Berry,Blueberry
104,WTF,Hybrid,4.7,9.0,Myrcene,Happy,Dry eyes,Depression,Relaxed,Dry mouth,Pain,Focused,Headache,Stress,Energetic,,Inflammation,Creative,,Insomnia,17.0,9.0,Earthy,Pungent,Citrus
105,Dutch Thunder Fuck,Hybrid,4.9,14.0,Myrcene,Uplifted,Dry mouth,Depression,Euphoric,Dizzy,Stress,Happy,,Fatigue,Creative,,ADD,Talkative,,Bipolar disorder,21.0,1.0,Earthy,Sweet,Citrus
106,Loud Scout,Hybrid,4.1,16.0,Caryophyllene,Happy,Headache,Anxiety,Euphoric,Dry mouth,Depression,Uplifted,Dry eyes,Fatigue,Relaxed,,Headaches,Energetic,,Nausea,17.0,0.0,Grape,Sweet,Tropical
107,Kilimanjaro,Sativa,4.5,124.0,Myrcene,Energetic,Dry mouth,Depression,Uplifted,Dry eyes,Stress,Happy,Dizzy,Anxiety,Creative,Anxious,Fatigue,Euphoric,Paranoid,Pain,16.0,1.0,Earthy,Woody,Citrus
108,Platinum Huckleberry Cookies,Hybrid,4.5,41.0,Myrcene,Relaxed,Dry eyes,Stress,Euphoric,Dry mouth,Pain,Happy,Paranoid,Depression,Creative,Anxious,Anxiety,Uplifted,Dizzy,Lack of appetite,21.0,0.0,Flowery,Earthy,Spicy/Herbal
