,Strain Name,Type,Rating,Rating Users,Top Terpene,Feeling_1,Negative_1,Helps with_1,Feeling_2,Negative_2,Helps with_2,Feeling_3,Negative_3,Helps with_3,Feeling_4,Negative_4,Helps with_4,Feeling_5,Negative_5,Helps with_5,THC,CBD,Flavor_1,Flavor_2,Flavor_3
1146,Lemon Daddy,Hybrid,3.5,13.0,Myrcene,Happy,Dry mouth,Stress,Focused,Paranoid,Fatigue,Euphoric,Anxious,Muscle spasms,Energetic,Dizzy,Pain,Uplifted,Headache,ADD,22.0,7.0,Lemon,Citrus,Earthy
1147,White Buffalo,Sativa,4.5,240.0,Caryophyllene,Euphoric,Dry mouth,Stress,Uplifted,Dry eyes,Anxiety,Happy,Anxious,Depression,Energetic,Dizzy,Fatigue,Relaxed,Headache,Pain,18.0,1.0,Earthy,Flowery,Woody
1148,Motorbreath,Hybrid,4.7,153.0,Myrcene,Euphoric,Dry mouth,Stress,Relaxed,Dizzy,Anxiety,Happy,Dry eyes,Pain,Uplifted,Anxious,Depression,Creative,,Insomnia,25.0,1.0,Earthy,,
1149,Ambrosia,Hybrid,4.2,85.0,Myrcene,Happy,Dry mouth,Stress,Creative,Dry eyes,Depression,Uplifted,Anxious,Anxiety,Euphoric,Dizzy,Pain,Relaxed,Headache,Nausea,18.0,0.0,Flowery,Sage,TreeFruit
1150,White Russian,Hybrid,4.3,534.0,Myrcene,Happy,Dry mouth,Stress,Euphoric,Dry eyes,Anxiety,Uplifted,Dizzy,Depression,Relaxed,Paranoid,Pain,Creative,Headache,Insomnia,18.0,8.0,Earthy,Citrus,Spicy/Herbal
1151,Emerald OG,Indica,4.6,55.0,Caryophyllene,Relaxed,Dry mouth,Insomnia,Sleepy,Anxious,Stress,Happy,Dry eyes,Anxiety,Uplifted,,Depression,Euphoric,,Headaches,19.0,0.0,Earthy,Citrus,Sweet
1152,Pink Champagne,Indica,4.8,105.0,Caryophyllene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Euphoric,Dizzy,Depression,Sleepy,Paranoid,Headaches,Uplifted,,Insomnia,20.0,7.0,Berry,Sweet,Grape
1153,Apple Jack,Hybrid,4.2,108.0,Terpinolene,Happy,Dry mouth,Depression,Uplifted,Anxious,Stress,Relaxed,Dry eyes,Pain,Focused,Paranoid,Anxiety,Euphoric,Dizzy,Fatigue,18.0,6.0,Apple,Sweet,Earthy
1154,Forbidden Fruit,Indica,4.6,753.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Euphoric,Headache,Pain,Sleepy,Dizzy,Depression,Uplifted,Paranoid,Insomnia,14.0,0.0,Grapefruit,Citrus,Tropical
1155,LA Kush,Hybrid,4.4,48.0,Caryophyllene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Depression,Euphoric,Anxious,Pain,Uplifted,Dizzy,Anxiety,Energetic,Headache,Fatigue,17.0,0.0,Pine,Citrus,Sweet
1156,Ghost Train Haze,Sativa,4.5,1069.0,Terpinolene,Happy,Dry mouth,Stress,Uplifted,Dry eyes,Depression,Euphoric,Anxious,Pain,Energetic,Dizzy,Anxiety,Creative,Paranoid,Fatigue,17.0,1.0,Citrus,Lemon,Earthy
1157,Blue Frost,Hybrid,4.4,139.0,Myrcene,Relaxed,Dry mouth,Depression,Happy,Dry eyes,Stress,Euphoric,Dizzy,Pain,Uplifted,Paranoid,Anxiety,Tingly,Anxious,Fatigue,17.0,0.0,Blueberry,Berry,Earthy
1158,Grape Vine,Hybrid,4.2,11.0,Myrcene,Relaxed,Dry eyes,Insomnia,Sleepy,Dry mouth,Lack of appetite,Hungry,,Depression,Happy,,Fatigue,Uplifted,,Stress,18.0,0.0,Earthy,,
1159,Space Dawg,Indica,4.3,52.0,Caryophyllene,Euphoric,Dry mouth,Stress,Relaxed,Dry eyes,Anxiety,Uplifted,Dizzy,Pain,Happy,Headache,PTSD,Sleepy,Paranoid,Depression,15.0,0.0,Pine,Spicy/Herbal,Tobacco
1160,Biker Kush,Indica,4.4,19.0,Myrcene,Relaxed,Dry mouth,Insomnia,Happy,Dry eyes,Lack of appetite,Uplifted,Paranoid,Stress,Creative,Dizzy,Anxiety,Talkative,Headache,Depression,16.0,0.0,Spicy/Herbal,Lemon,Woody
1161,IG Kush,Hybrid,4.4,5.0,Caryophyllene,Sleepy,Dry eyes,Insomnia,Relaxed,Dry mouth,Lack of appetite,Happy,,Pain,Tingly,,Stress,Hungry,,Headaches,15.0,0.0,Sweet,Orange,Earthy
1162,3D CBD,Sativa,4.4,20.0,Myrcene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Stress,Uplifted,,Inflammation,Focused,,Muscle spasms,Tingly,,Depression,7.0,11.0,Woody,Pine,Tea
1163,Carpet Tape,Hybrid,4.6,9.0,Caryophyllene,Relaxed,Dry mouth,Lack of appetite,Hungry,Dry eyes,Pain,Euphoric,,Cramps,Aroused,,Fatigue,Sleepy,,Headaches,20.0,2.0,Diesel,Pungent,Skunk
1164,Sugar Plum Sunset,Indica,4.8,64.0,Myrcene,Relaxed,Dry mouth,Anxiety,Happy,Dry eyes,Stress,Euphoric,,Depression,Sleepy,,Pain,Uplifted,,PTSD,17.0,14.0,Earthy,,
1165,Rockstar Master Kush,Indica,3.9,28.0,Limonene,Relaxed,Dry mouth,Pain,Euphoric,Dry eyes,Stress,Hungry,Dizzy,Fatigue,Sleepy,Headache,Inflammation,Happy,,Insomnia,20.0,10.0,Sweet,Earthy,Pine
1166,Rene Mist,Hybrid,3.3,8.0,Limonene,Relaxed,Dizzy,Stress,Happy,Dry eyes,Pain,Hungry,Dry mouth,Depression,Uplifted,,Anxiety,Euphoric,,Lack of appetite,13.0,10.0,Flowery,Earthy,Rose
1167,Aberdeen,Hybrid,4.4,8.0,Myrcene,Uplifted,Dry eyes,PTSD,Giggly,Dry mouth,Cramps,Talkative,,Depression,Sleepy,,Fatigue,Happy,,Headaches,16.0,8.0,Menthol,BlueCheese,Chemical
1168,Gas Mask,Indica,4.6,33.0,Myrcene,Relaxed,Dry mouth,Anxiety,Sleepy,Dizzy,Insomnia,Euphoric,Dry eyes,Pain,Tingly,Paranoid,PTSD,Happy,,Depression,17.0,14.0,Earthy,Spicy/Herbal,Pepper
