,Strain Name,Type,Rating,Rating Users,Top Terpene,Feeling_1,Negative_1,Helps with_1,Feeling_2,Negative_2,Helps with_2,Feeling_3,Negative_3,Helps with_3,Feeling_4,Negative_4,Helps with_4,Feeling_5,Negative_5,Helps with_5,THC,CBD,Flavor_1,Flavor_2,Flavor_3
3895,Purple AK-47,Hybrid,4.1,75.0,Myrcene,Relaxed,Dry mouth,Pain,Euphoric,Dry eyes,Stress,Sleepy,Headache,Muscle spasms,Happy,Dizzy,Anxiety,Tingly,Paranoid,Depression,13.0,7.0,Grape,Earthy,Citrus
3896,Grapefruit Diesel,Hybrid,4.3,136.0,Pinene,Relaxed,Dry mouth,Anxiety,Happy,Dry eyes,Stress,Uplifted,Dizzy,Depression,Euphoric,Anxious,Pain,Focused,Headache,Fatigue,17.0,12.0,Grapefruit,Diesel,Earthy
3897,Cherry Pie,Hybrid,4.3,1934.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Depression,Euphoric,Dizzy,Anxiety,Uplifted,Paranoid,Pain,Creative,Anxious,Insomnia,16.0,7.0,Berry,Sweet,Earthy
3898,Blue Mountain Fire,Sativa,4.3,12.0,Myrcene,Euphoric,Dry eyes,Depression,Uplifted,Dizzy,Eye pressure,Tingly,Dry mouth,Fatigue,Relaxed,Headache,Insomnia,Hungry,Paranoid,Lack of appetite,19.0,5.0,Flowery,Earthy,Tar
3900,Darth Vader OG,Indica,4.3,172.0,Myrcene,Relaxed,Dry mouth,Insomnia,Sleepy,Dry eyes,Stress,Euphoric,Paranoid,Pain,Happy,Dizzy,Anxiety,Hungry,Headache,Depression,20.0,4.0,Grape,Berry,Pine
3902,Killer Queen,Hybrid,4.3,140.0,Myrcene,Euphoric,Dry mouth,Stress,Happy,Dry eyes,Pain,Uplifted,Dizzy,Anxiety,Creative,Paranoid,Depression,Relaxed,Headache,Fatigue,18.0,0.0,Sweet,Butter,Pungent
3903,Alpha Express,Sativa,4.7,7.0,Myrcene,Energetic,Dry mouth,Insomnia,Uplifted,Anxious,Lack of appetite,Focused,N/A,Cramps,Talkative,N/A,Depression,Relaxed,N/A,Fatigue,17.0,0.0,Diesel,Earthy,Spicy/Herbal
3905,Iced Widow,Indica,4.3,40.0,Myrcene,Happy,Dry mouth,Stress,Relaxed,Anxious,Depression,Uplifted,Paranoid,Insomnia,Hungry,N/A,Lack of appetite,Giggly,N/A,Pain,18.0,8.0,Sweet,Berry,Earthy
3906,Fat Nelson,Hybrid,4.5,8.0,Myrcene,Euphoric,Dry eyes,Stress,Happy,Headache,ADD,Uplifted,N/A,Anxiety,Creative,N/A,Fatigue,Talkative,N/A,Muscle spasms,19.0,0.0,Pungent,Diesel,Sweet
3909,Medicine Woman,Hybrid,4.8,28.0,Myrcene,Uplifted,Dry mouth,Pain,Relaxed,Anxious,Cramps,Euphoric,Dry eyes,Inflammation,Happy,Paranoid,Depression,Creative,N/A,Muscle spasms,21.0,0.0,Earthy,Diesel,Pine
