,Strain Name,Flavors
100,Thin Mint GSC,"['Mint', 'Earthy', 'Sweet']"
101,9 Pound Hammer,"['Earthy', 'Sweet', 'Citrus']"
102,Sour OG,"['Diesel', 'Lemon', 'Earthy']"
103,Obama Kush,"['Earthy', 'Berry', 'Pine']"
104,Gelato,"['Sweet', 'Citrus', 'Earthy']"
105,Afgoo,"['Earthy', 'Pine', 'Woody']"
106,King Louis XIII,"['Earthy', 'Woody', 'Pine']"
107,ACDC,"['Earthy', 'Woody', 'Pine']"
108,Platinum Kush,"['Sweet', 'Earthy', 'Spicy/Herbal']"
109,Juicy Fruit,"['Sweet', 'Citrus', 'Berry']"
110,Sour Kush,"['Diesel', 'Earthy', 'Pungent']"
111,Critical Kush,"['Earthy', 'Woody', 'Flowery']"
112,Amnesia,"['Earthy', 'Woody', 'Citrus']"
113,Sensi Star,"['Earthy', 'Citrus', 'Woody']"
114,Purple Trainwreck,"['Sweet', 'Earthy', 'Pine']"
115,Pineapple Kush,"['Pineapple', 'Citrus', 'Sweet']"
116,MK Ultra,"['Earthy', 'Pine', 'Pungent']"
117,J1,"['Citrus', 'Earthy', 'Pungent']"
118,Flo,"['Earthy', 'Sweet', 'Spicy/Herbal']"
119,God Bud,"['Earthy', 'Woody', 'Flowery']"
120,Sweet Tooth,"['Sweet', 'Flowery', 'Berry']"
121,Sister Glue,"['Pungent', 'Pine', 'Woody']"
122,Moby Dick,"['Earthy', 'Citrus', 'Pine']"
123,Pink Kush,"['Sweet', 'Flowery', 'Earthy']"
124,Space Queen,"['Earthy', 'Flowery', 'Sweet']"
125,Blackberry,"['Sweet', 'Berry', 'Blueberry']"
126,Blue Diesel,"['Diesel', 'Blueberry', 'Pine']"
127,UK Cheese,"['Cheese', 'Earthy', 'Pungent']"
128,SFV OG,"['Earthy', 'Pine', 'Lemon']"
129,Kandy Kush,"['Sweet', 'Lemon', 'Skunk']"
130,White Russian,"['Earthy', 'Citrus', 'Spicy/Herbal']"
131,Super Skunk,"['Skunk', 'Earthy', 'Sweet']"
132,Acapulco Gold,"['Earthy', 'Woody', 'Pungent']"
133,Blackwater,"['Berry', 'Sweet', 'Flowery']"
134,Purple Diesel,"['Diesel', 'Sweet', 'Earthy']"
135,Khalifa Kush,"['Citrus', 'Pungent', 'Earthy']"
136,Lemon Diesel,"['Lemon', 'Diesel', 'Citrus']"
137,Pineapple,"['Pineapple', 'Tropical', 'Citrus']"
138,Grapefruit,"['Grapefruit', 'Citrus', 'Sweet']"
139,Snowcap,"['Lemon', 'Citrus', 'Flowery']"
140,Pre-98 Bubba Kush,"['Earthy', 'Woody', 'Coffee']"
141,Vanilla Kush,"['Vanilla', 'Sweet', 'Spicy/Herbal']"
142,Afghani,"['Earthy', 'Pungent', 'Pine']"
143,Ghost OG,"['Citrus', 'Earthy', 'Pungent']"
144,Stardawg,"['Earthy', 'Diesel', 'Pine']"
145,Herijuana,"['Woody', 'Pine', 'Sweet']"
146,Sour Tangie,"['Citrus', 'Orange', 'Diesel']"
147,Orange Crush,"['Orange', 'Citrus', 'Sweet']"
148,Deadhead OG,"['Pine', 'Earthy', 'Pungent']"
149,Jack Frost,"['Citrus', 'Earthy', 'Pine']"
150,Dr. Who,"['Earthy', 'Berry', 'Grape']"
151,Super Sour Diesel,"['Diesel', 'Pungent', 'Earthy']"
152,Casey Jones,"['Citrus', 'Diesel', 'Earthy']"
153,Mango,"['Mango', 'Citrus', 'Tropical']"
154,Skunk No. 1,"['Skunk', 'Earthy', 'Pungent']"
155,Hash Plant,"['Earthy', 'Spicy/Herbal', 'Woody']"
156,Great White Shark,"['Earthy', 'Woody', 'Citrus']"
157,Haze,"['Earthy', 'Pungent', 'Woody']"
158,Jack the Ripper,"['Lemon', 'Pine', 'Citrus']"
159,Cookies and Cream,"['Vanilla', 'Sweet', 'Earthy']"
160,True OG,"['Earthy', 'Pine', 'Citrus']"
161,Grape God,"['Grape', 'Sweet', 'Earthy']"
162,$100 OG,"['Earthy', 'Orange', 'Flowery']"
163,Strawberry Banana,"['Strawberry', 'Sweet', 'Berry']"
164,Golden Pineapple,"['Pineapple', 'Sweet', 'Tropical']"
165,Blue Widow,"['Pine', 'Earthy', 'Woody']"
166,Permafrost,"['Earthy', 'Pine', 'Sweet']"
167,Strawberry Kush,"['Strawberry', 'Sweet', 'Berry']"
168,Lemon OG Kush,"['Lemon', 'Citrus', 'Woody']"
169,Blue Magoo,"['Sweet', 'Blueberry', 'Earthy']"
170,Afgooey,"['Earthy', 'Pine', 'Pungent']"
171,The White,"['Pungent', 'Earthy', 'Pine']"
172,Grape Stomper,"['Grape', 'Sweet', 'Diesel']"
173,Platinum Bubba Kush,"['Earthy', 'Flowery', 'Berry']"
174,OG #18,"['Earthy', 'Pungent', 'Sweet']"
175,Banana OG,"['Earthy', 'Sweet', 'Tropical']"
176,Jesus OG,"['Earthy', 'Citrus', 'Lemon']"
177,Raspberry Kush,"['Berry', 'Tropical', 'Grapefruit']"
178,Do-Si-Dos,"['Earthy', 'Sweet', 'Pungent']"
179,Chemdog 4,"['Earthy', 'Pine', 'Chemical']"
180,Presidential OG,"['Earthy', 'Pine', 'Citrus']"
181,Black Cherry Soda,"['Earthy', 'Sweet', 'Berry']"
182,Snoop’s Dream,"['Spicy/Herbal', 'Sweet', 'Pine']"
183,Diamond OG,"['Earthy', 'Pine', 'Citrus']"
184,Purple OG Kush,"['Berry', 'Earthy', 'Pine']"
185,King’s Kush,"['Earthy', 'Woody', 'Pungent']"
186,Black Jack,"['Earthy', 'Pine', 'Woody']"
187,Blueberry Headband,"['Blueberry', 'Berry', 'Lemon']"
188,Pennywise,"['Earthy', 'Pine', 'Spicy/Herbal']"
189,Red Dragon,"['Sweet', 'Berry', 'Earthy']"
190,707 Headband,"['Sweet', 'Pungent', 'Citrus']"
191,Power Plant,"['Earthy', 'Spicy/Herbal', 'Sweet']"
192,Double Dream,"['Sweet', 'Berry', 'Spicy/Herbal']"
193,Ogre,"['Skunk', 'Earthy', 'Pungent']"
194,Cherry Kush,"['Berry', 'Sweet', 'Earthy']"
195,Jedi Kush,"['Earthy', 'Woody', 'Pine']"
196,Kryptonite,"['Earthy', 'Flowery', 'Lavender']"
197,California Orange,"['Orange', 'Tea', 'Citrus']"
198,Blue Cookies,"['Blueberry', 'Berry', 'Sweet']"
199,3 Kings,"['Earthy', 'Pine', 'Woody']"
200,Bubblegum Kush,"['Sweet', 'Spicy/Herbal', 'Earthy']"
201,Blueberry Diesel,"['Blueberry', 'Diesel', 'Berry']"
202,Ace of Spades,"['Sweet', 'Earthy', 'Grape']"
203,Plushberry,"['Berry', 'Sweet', 'Flowery']"
204,Black Widow,"['Earthy', 'Pungent', 'Woody']"
205,Jack Flash,"['Citrus', 'Flowery', 'Sweet']"
206,Pure Kush,"['Woody', 'Earthy', 'Pungent']"
207,Death Bubba,"['Earthy', 'Pungent', 'Sweet']"
208,Shishkaberry,"['Berry', 'Sweet', 'Earthy']"
209,Dream Queen,"['Sweet', 'Citrus', 'Pungent']"
210,Kali Mist,"['Earthy', 'Citrus', 'Woody']"
211,Blueberry Haze,"['Blueberry', 'Sweet', 'Flowery']"
212,Rockstar,"['Earthy', 'Pungent', 'Skunk']"
213,Yoda OG,"['Earthy', 'Pine', 'Woody']"
214,Harle-Tsu,"['Earthy', 'Woody', 'Pine']"
215,Big Bud,"['Earthy', 'Flowery', 'Skunk']"
216,Jet Fuel,"['Diesel', 'Earthy', 'Pungent']"
217,Bruce Banner #3,"['Sweet', 'Pine', 'Strawberry']"
218,Pineapple Chunk,"['Pineapple', 'Cheese', 'Skunk']"
219,Black Domina,"['Earthy', 'Woody', 'Pine']"
220,Bubba OG,"['Earthy', 'Pungent', 'Sweet']"
221,SAGE,"['Earthy', 'Woody', 'Pungent']"
222,Cat Piss,"['Pungent', 'Woody', 'Ammonia']"
223,Violator Kush,"['Earthy', 'Pungent', 'Sweet']"
224,Strawberry Diesel,"['Strawberry', 'Diesel', 'Sweet']"
225,Liberty Haze,"['Lemon', 'Earthy', 'Citrus']"
226,Dark Star,"['Pungent', 'Earthy', 'Woody']"
227,Big Buddha Cheese,"['Cheese', 'Skunk', 'Pungent']"
228,Mendocino Purps,"['Woody', 'Earthy', 'Pungent']"
229,Cheese Quake,"['Cheese', 'Berry', 'Pungent']"
230,Jean Guy,"['Woody', 'Citrus', 'Earthy']"
231,Black Diamond,"['Earthy', 'Berry', 'Woody']"
232,Nebula,"['Sweet', 'Earthy', 'Woody']"
233,Blue Haze,"['Blueberry', 'Earthy', 'Flowery']"
234,Pure Power Plant,"['Earthy', 'Pungent', 'Apple']"
235,Charlotte’s Web,"['Earthy', 'Citrus', 'Pine']"
236,Diablo,"['Spicy/Herbal', 'Sweet', 'Pungent']"
237,Paris OG,"['Earthy', 'Lemon', 'Sweet']"
238,DJ Short Blueberry,"['Blueberry', 'Berry', 'Sweet']"
239,Querkle,"['Berry', 'Earthy', 'Flowery']"
240,XXX OG,"['Earthy', 'Pine', 'Lemon']"
241,Mendo Breath,"['Earthy', 'Sweet', 'Vanilla']"
242,Purple Sour Diesel,"['Diesel', 'Grape', 'Sweet']"
243,Sour Tsunami,"['Earthy', 'Citrus', 'Diesel']"
244,Purple Dream,"['Sweet', 'Berry', 'Blueberry']"
245,Orange Bud,"['Orange', 'Sweet', 'Citrus']"
246,Blue Dragon,"['Blueberry', 'Earthy', 'Diesel']"
247,JGR,"['Earthy', 'Spicy/Herbal', 'Berry']"
248,Willy’s Wonder,"['Citrus', 'Flowery', 'Spicy/Herbal']"
249,Super Blue Dream,"['Tea', 'Tropical', 'Pineapple']"
250,Candy Jack,"['Sweet', 'Pine', 'Tea']"
251,Purple Candy,"['Grape', 'Sweet', 'Berry']"
252,Vortex,"['Citrus', 'Lemon', 'Tropical']"
253,Fucking Incredible,"['Sweet', 'Earthy', 'Pine']"
254,Monster Cookies,"['Earthy', 'Berry', 'Grape']"
255,Orange Cookies,"['Orange', 'Citrus', 'Sweet']"
256,Mob Boss,"['Woody', 'Pine', 'Earthy']"
257,Ice,"['Chemical', 'Woody', 'Earthy']"
258,Chemo,"['Earthy', 'Pungent', 'Woody']"
259,Cherry AK-47,"['Berry', 'Earthy', 'Pine']"
260,Quantum Kush,"['Earthy', 'Flowery', 'Berry']"
261,Cookies Kush,"['Sweet', 'Pungent', 'Earthy']"
262,Key Lime Pie,"['Lime', 'Sweet', 'Citrus']"
263,Cali Kush,"['Earthy', 'Sweet', 'Pine']"
264,Tangerine Kush,"['Citrus', 'Orange', 'Sweet']"
265,Sage N Sour,"['Earthy', 'Flowery', 'Sweet']"
266,Blueberry Cheesecake,"['Blueberry', 'Berry', 'Cheese']"
267,Cannalope Haze,"['Flowery', 'Tropical', 'Sweet']"
268,Glass Slipper,"['Earthy', 'Flowery', 'Sweet']"
269,Phantom Cookies,"['Flowery', 'Woody', 'Berry']"
270,Dogwalker OG,"['Earthy', 'Pungent', 'Skunk']"
271,Laughing Buddha,"['Earthy', 'Spicy/Herbal', 'Sweet']"
272,Mango Haze,"['Mango', 'Tropical', 'Sweet']"
273,Star Killer,"['Earthy', 'Flowery', 'Pungent']"
274,Pineapple Trainwreck,"['Pineapple', 'Sweet', 'Pepper']"
275,Redwood Kush,"['Earthy', 'Woody', 'Pine']"
276,THC Bomb,"['Sweet', 'Citrus', 'Earthy']"
277,Chiesel,"['Cheese', 'Diesel', 'Earthy']"
278,Green Queen,"['Pungent', 'Sweet', 'Woody']"
279,Tangerine,"['Citrus', 'Orange', 'Tropical']"
280,Sugar Black Rose,"['Sweet', 'Rose', 'Flowery']"
281,Tangerine Haze,"['Citrus', 'Orange', 'Sweet']"
282,Birthday Cake Kush,"['Sweet', 'Vanilla', 'Lemon']"
283,Sugar Cookie,"['Sweet', 'Vanilla', 'Flowery']"
284,Shark Shock,"['Earthy', 'Woody', 'Pungent']"
285,Death Star OG,"['Earthy', 'Pungent', 'Sweet']"
286,Bio-Diesel,"['Diesel', 'Woody', 'Earthy']"
287,Superglue,"['Pine', 'Earthy', 'Pungent']"
288,Hawaiian Snow,"['Tropical', 'Pineapple', 'Lime']"
289,God’s Green Crack,"['Earthy', 'Sweet', 'Pungent']"
290,East Coast Sour Diesel,"['Diesel', 'Skunk', 'Sage']"
291,Sour Apple,"['Apple', 'Sweet', 'Earthy']"
292,Cataract Kush,"['Pungent', 'Spicy/Herbal', 'Earthy']"
293,Matanuska Thunder Fuck,"['Skunk', 'Citrus', 'Lemon']"
294,Dairy Queen,"['Cheese', 'Earthy', 'Sweet']"
295,AK-48,"['Flowery', 'Citrus', 'Orange']"
296,Alien Dawg,"['Earthy', 'Woody', 'Pungent']"
297,Chocolate Chunk,"['Earthy', 'Woody', 'Coffee']"
298,M-39,"['Earthy', 'Citrus', 'Flowery']"
299,Head Cheese,"['Pungent', 'Cheese', 'Skunk']"
300,Superman OG,"['Diesel', 'Tobacco', 'Earthy']"
301,Purple Wreck,"['Grape', 'Berry', 'Pungent']"
302,G13 Haze,"['Earthy', 'Lemon', 'Pungent']"
303,SFV OG Kush,"['Earthy', 'Pine', 'Spicy/Herbal']"
304,Chemdog 91,"['Earthy', 'Chemical', 'Diesel']"
305,Super Jack,"['Sweet', 'Earthy', 'Pungent']"
306,Blue Hawaiian,"['Blueberry', 'Sweet', 'Tropical']"
307,Godfather OG,"['Earthy', 'Woody', 'Spicy/Herbal']"
308,Trinity,"['Pine', 'Flowery', 'Pungent']"
309,Sour Grape,"['Grape', 'Diesel', 'Sweet']"
310,Lemon G,"['Lemon', 'Citrus', 'Earthy']"
311,Grapefruit Kush,"['Grapefruit', 'Citrus', 'Pine']"
312,Chronic,"['Earthy', 'Sweet', 'Pungent']"
313,Red Congolese,"['Spicy/Herbal', 'Earthy', 'Pungent']"
314,Alien Walker,"['Diesel', 'Earthy', 'Pine']"
315,Royal Kush,"['Earthy', 'Pine', 'Skunk']"
316,Kushberry,"['Berry', 'Earthy', 'Sweet']"
317,Pitbull,"['Earthy', 'Flowery', 'Pungent']"
318,White Berry,"['Berry', 'Sweet', 'Blueberry']"
319,Nuken,"['Earthy', 'Woody', 'Chestnut']"
320,Allen Wrench,"['Earthy', 'Citrus', 'Diesel']"
321,Green Ribbon,"['Lemon', 'TreeFruit', 'Lime']"
322,Lemon Drop,"['Lemon', 'Citrus', 'Earthy']"
323,Goo,"['Earthy', 'Blueberry', 'Berry']"
324,Critical Plus,"['Pungent', 'Citrus', 'Sweet']"
325,Black Tuna,"['Earthy', 'Woody', 'Cheese']"
326,Zkittlez,"['Sweet', 'Berry', 'Grape']"
327,Pot of Gold,"['Earthy', 'Skunk', 'Woody']"
