,Strain Name,Flavors
433,Citrus Sap,"['Citrus', 'Orange', 'Woody']"
434,Kilimanjaro,"['Earthy', 'Woody', 'Citrus']"
435,Lemon Jack,"['Lemon', 'Citrus', 'Diesel']"
436,Sour Cheese,"['Cheese', 'Diesel', 'Skunk']"
437,Platinum Purple Kush,"['Earthy', 'Grape', 'Woody']"
438,Phantom OG,"['Earthy', 'Lemon', 'Mint']"
439,Church OG,"['Earthy', 'Spicy/Herbal', 'Pine']"
440,Purple Chemdawg,"['Chemical', 'Grape', 'Diesel']"
441,Green Poison,"['Earthy', 'Woody', 'Citrus']"
442,Lodi Dodi,"['Citrus', 'Sweet', 'Flowery']"
443,Rug Burn OG,"['Diesel', 'Lemon', 'Earthy']"
444,Double Tangie Banana,"['Citrus', 'Orange', 'Sweet']"
445,Hippie Crippler,"['Earthy', 'Sweet', 'Pine']"
446,Raskal OG,"['Sweet', 'Pine', 'Earthy']"
447,Mickey Kush,"['Citrus', 'Earthy', 'Orange']"
448,Blue Diamond,"['Sweet', 'Earthy', 'Blueberry']"
449,Red Headed Stranger,"['Spicy/Herbal', 'Earthy', 'Citrus']"
450,Power Kush,"['Sweet', 'Skunk', 'Pungent']"
451,Sour Dream,"['Diesel', 'Skunk', 'Berry']"
452,Golden Ticket,"['Citrus', 'Lemon', 'Mint']"
453,Cornbread,"['Woody', 'Earthy', 'Lemon']"
454,Purple Elephant,"['Blueberry', 'Earthy', 'Pungent']"
455,Scott’s OG,"['Earthy', 'Lemon', 'Pungent']"
456,Hindu Skunk,"['Skunk', 'Orange', 'Earthy']"
457,Corleone Kush,"['Earthy', 'Spicy/Herbal', 'Pine']"
458,Tora Bora,"['Sweet', 'Earthy', 'Woody']"
459,Blue Goo,"['Earthy', 'Blueberry', 'Flowery']"
460,Arjan’s Strawberry Haze,"['Strawberry', 'Sweet', 'Berry']"
461,Atomic Northern Lights,"['Earthy', 'Pine', 'Pungent']"
462,Purple Arrow,"['Earthy', 'Woody', 'Sweet']"
463,Silverback Gorilla,"['Pungent', 'Grape', 'Sweet']"
464,Crystal Coma,"['Citrus', 'Pungent', 'Earthy']"
465,Game Changer,"['Earthy', 'Flowery', 'Woody']"
466,Remedy,"['Earthy', 'Woody', 'Citrus']"
467,Rainbow,"['Sweet', 'Tropical', 'Berry']"
468,White Nightmare,"['Berry', 'Earthy', 'Woody']"
469,Master Bubba,"['Woody', 'Earthy', 'Pungent']"
470,Love Potion #1,"['Citrus', 'Earthy', 'Pine']"
471,Moonshine Haze,"['Flowery', 'Earthy', 'Woody']"
472,White Fire Alien OG,"['Sweet', 'Earthy', 'Pungent']"
473,Medibud,"['Sweet', 'Berry', 'Pine']"
474,Hog’s Breath,"['Earthy', 'Spicy/Herbal', 'Nutty']"
475,Blue Frost,"['Blueberry', 'Berry', 'Earthy']"
476,Primus,"['Earthy', 'Sweet', 'Skunk']"
477,OG Diesel Kush,"['Strawberry', 'Skunk', 'Pine']"
478,Hashberry,"['Berry', 'Sweet', 'Earthy']"
479,Alice in Wonderland,"['Earthy', 'Woody', 'Ammonia']"
480,Sour Alien,"['TreeFruit', 'Diesel', 'Lemon']"
481,Montana Silvertip,"['Earthy', 'Pine', 'Berry']"
482,Cherry Diesel,"['Diesel', 'Sweet', 'Berry']"
483,Pineapple Jack,"['Pineapple', 'Citrus', 'Spicy/Herbal']"
484,Blue Moon Rocks,"['Blueberry', 'Sweet', 'Berry']"
485,White Kush,"['Earthy', 'Vanilla', 'Spicy/Herbal']"
486,Silver Kush,"['Earthy', 'Citrus', 'Woody']"
487,White Buffalo,"['Earthy', 'Flowery', 'Woody']"
488,Sugar Shack,"['Sweet', 'Pine', 'Woody']"
489,Hawaiian Haze,"['Skunk', 'Diesel', 'Sage']"
490,Cinderella’s Dream,"['Pine', 'Sweet', 'Citrus']"
491,Bay 11,"['Earthy', 'Sweet', 'Pine']"
492,Alpha Blue,"['Blueberry', 'Diesel', 'Sweet']"
493,LA Woman,"['Earthy', 'Citrus', 'Sweet']"
494,Recon,"['Sweet', 'Nutty', 'Flowery']"
495,CBD Critical Cure,"['Earthy', 'Berry', 'Woody']"
496,Dutch Dragon,"['Citrus', 'Sweet', 'Tropical']"
497,Jack Skellington,"['Earthy', 'Diesel', 'Citrus']"
498,Honey Bananas,"['Earthy', 'Honey', 'Sweet']"
499,Godberry,"['Berry', 'Sweet', 'Flowery']"
500,Chocolate Thai,"['Coffee', 'Earthy', 'Citrus']"
501,Wappa,"['Sweet', 'Earthy', 'Citrus']"
502,Black Lime Special Reserve,"['Lime', 'Pepper', 'Earthy']"
503,Blueberry Yum Yum,"['Blueberry', 'Berry', 'Sweet']"
504,Bay Dream,"['Flowery', 'Earthy', 'Sweet']"
505,Super Green Crack,"['Woody', 'Earthy', 'Pungent']"
506,Purple Afghani,"['Earthy', 'Sweet', 'Woody']"
507,Super Snow Dog,"['Earthy', 'Lemon', 'Citrus']"
508,501st OG,"['Sweet', 'Earthy', 'Pungent']"
509,Chemdawg Sour Diesel,"['Earthy', 'Diesel', 'Chemical']"
510,Triangle Kush,"['Earthy', 'Woody', 'Flowery']"
511,Black Cherry OG,"['Berry', 'TreeFruit', 'Grape']"
512,Dynamite,"['Grapefruit', 'Citrus', 'Pungent']"
513,Sour Amnesia,"['Diesel', 'Earthy', 'Sweet']"
514,Cream Caramel,"['Spicy/Herbal', 'Sweet', 'Earthy']"
515,Blue Knight,"['Berry', 'Blueberry', 'Sweet']"
516,Platinum Wreck,"['Citrus', 'Sweet', 'Earthy']"
517,Green Goblin,"['Pungent', 'Diesel', 'Tropical']"
518,C4,"['Citrus', 'Skunk', 'Earthy']"
519,Midnight,"['Earthy', 'Sweet', 'Pungent']"
520,Blue Moonshine,"['Blueberry', 'Berry', 'Earthy']"
521,Galactic Jack,"['Grapefruit', 'Lemon', 'Sweet']"
522,Purple Monkey Balls,"['Sweet', 'Grape', 'Berry']"
523,White Gold,"['Earthy', 'Pungent', 'Sweet']"
524,Cookie Wreck,"['Lemon', 'Earthy', 'Mint']"
525,Blueberry Muffin,"['Blueberry', 'Sweet', 'Berry']"
526,Shipwreck,"['Earthy', 'Flowery', 'Sweet']"
527,Cracker Jack,"['Butter', 'Spicy/Herbal', 'Earthy']"
528,Sour Banana Sherbet,"['Diesel', 'Sweet', 'Pungent']"
529,Blue Kush,"['Pine', 'Citrus', 'Blueberry']"
530,Critical Sensi Star,"['Grapefruit', 'Pine', 'Honey']"
531,Strawberry Fields,"['Strawberry', 'Sweet', 'Berry']"
532,Grease Monkey,"['Earthy', 'Diesel', 'Pungent']"
533,Shiva Skunk,"['Skunk', 'Earthy', 'Sweet']"
534,Neville’s Haze,"['Citrus', 'Flowery', 'Sweet']"
535,Sweet Cheese,"['Sweet', 'BlueCheese', 'Cheese']"
536,Sour Cream,"['Diesel', 'Flowery', 'Spicy/Herbal']"
537,Tangerine Power,"['Citrus', 'Orange', 'Sweet']"
538,Chem Valley Kush,"['Earthy', 'Pine', 'Diesel']"
539,Blueberry Skunk,"['Blueberry', 'Sweet', 'Berry']"
540,The Truth,"['Earthy', 'Citrus', 'Lemon']"
541,Sharksbreath,"['Pungent', 'Skunk', 'Woody']"
542,White Lightning,"['Sweet', 'Pine', 'Earthy']"
543,Aurora Indica,"['Earthy', 'Lemon', 'Woody']"
544,Ringo’s Gift,"['Citrus', 'Sweet', 'Nutty']"
545,Oregon Diesel,"['Earthy', 'Berry', 'Diesel']"
546,Jah Kush,"['Earthy', 'Woody', 'Citrus']"
547,Donna OG,"['Earthy', 'Pine', 'Pungent']"
548,Purple Voodoo,"['Sweet', 'Pungent', 'Berry']"
549,Face Off OG,"['Earthy', 'Sweet', 'Flowery']"
550,Dutchberry,"['Berry', 'Sweet', 'Citrus']"
551,Deep Purple,"['Mint', 'Grape', 'Sweet']"
552,Purple Skunk,"['Skunk', 'Earthy', 'Woody']"
553,Ambrosia,"['Flowery', 'Sage', 'TreeFruit']"
554,Super Kush,"['Tar', 'Earthy', 'Pungent']"
555,Shoreline,"['Sweet', 'Pungent', 'Spicy/Herbal']"
556,Space Bomb,"['Earthy', 'Flowery', 'Sweet']"
557,Dragon’s Breath,"['Skunk', 'Earthy', 'Spicy/Herbal']"
558,Alaskan Ice,"['Woody', 'Pungent', 'Spicy/Herbal']"
559,Purple Berry,"['Spicy/Herbal', 'Earthy', 'Sweet']"
560,Raspberry Cough,"['Berry', 'Sweet', 'Citrus']"
561,Lucid Dream,"['Berry', 'Blueberry', 'Sage']"
562,Cactus,"['Earthy', 'Citrus', 'Pungent']"
563,Santa Maria,"['Grapefruit', 'Sweet', 'Earthy']"
564,Night Terror OG,"['Earthy', 'Pine', 'Berry']"
565,Heavy Duty Fruity,"['Pepper', 'Sweet', 'Citrus']"
566,OG Cheese,"['Cheese', 'Menthol', 'Earthy']"
567,Sour Lemon OG,"['Lemon', 'Citrus', 'Pungent']"
568,CBD Shark,"['Pine', 'Earthy', 'Woody']"
569,Space Candy,"['Sweet', 'Earthy', 'Berry']"
570,Northern Wreck,"['Earthy', 'Flowery', 'Sweet']"
571,Black Betty,"['Pungent', 'Diesel', 'Grape']"
572,Ripped Bubba,"['Sweet', 'Flowery', 'Spicy/Herbal']"
573,Pineapple Diesel,"['Diesel', 'Sweet', 'Pungent']"
574,Buddha Tahoe,"['Earthy', 'Citrus', 'Lemon']"
575,Sweet Diesel,"['Diesel', 'Sweet', 'Earthy']"
576,Banana Diesel,"['Diesel', 'Tropical', 'Berry']"
577,Jamaican Dream,"['Earthy', 'Tropical', 'Woody']"
578,Green Goddess,"['Flowery', 'Pungent', 'Sweet']"
579,Pineapple Thai,"['Pineapple', 'Tropical', 'Citrus']"
580,A-Train,"['Earthy', 'Spicy/Herbal', 'Flowery']"
581,Tutti Frutti,"['Tropical', 'Mango', 'Sweet']"
582,Master Jedi,"['Pine', 'Earthy', 'Pungent']"
583,Pink Panther,"['Sweet', 'Flowery', 'Citrus']"
584,Master OG,"['Earthy', 'Pine', 'Woody']"
585,303 OG,"['Earthy', 'Citrus', 'Sweet']"
586,Citrix,"['Citrus', 'Orange', 'Grapefruit']"
587,Pineapple Haze,"['Pineapple', 'Sweet', 'Pungent']"
588,Incredible Bulk,"['Earthy', 'Skunk', 'Pungent']"
589,Purple Princess,"['Sweet', 'Pungent', 'Earthy']"
590,Sweet Kush,"['Sweet', 'Spicy/Herbal', 'Lemon']"
591,Pure OG,"['Flowery', 'Pine', 'Pungent']"
592,Martian Mean Green,"['Spicy/Herbal', 'Lemon', 'Earthy']"
593,Big Bang,"['Sweet', 'Berry', 'Lemon']"
594,Tiger’s Milk,"['Earthy', 'Sweet', 'Spicy/Herbal']"
595,Citrus Kush,"['Citrus', 'Sweet', 'Orange']"
596,Whitewalker OG,"['Cheese', 'Earthy', 'Woody']"
597,Purple Crack,"['Pungent', 'Earthy', 'Sweet']"
598,Emerald Jack,"['Sweet', 'Lime', 'Lavender']"
599,Green Dragon,"['Sweet', 'Pine', 'Earthy']"
600,Pineapple Skunk,"['Pineapple', 'Skunk', 'Earthy']"
601,Fruit Punch,"['Berry', 'Sweet', 'Citrus']"
602,Hawaiian Punch,"['Tropical', 'Sweet', 'Berry']"
603,Critical Bilbo,"['Earthy', 'Pine', 'Rose']"
604,Cherry Skunk,"['Sweet', 'Berry', 'Earthy']"
605,Black Diesel,"['Diesel', 'Earthy', 'Pepper']"
606,Bordello,"['Berry', 'Cheese', 'Earthy']"
607,BC Big Bud,"['Earthy', 'Pungent', 'Skunk']"
608,Connie Chung,"['Tea', 'Sweet', 'Flowery']"
609,White Urkle,"['Woody', 'Pine', 'Citrus']"
610,Malawi,"['Earthy', 'Flowery', 'Woody']"
611,Purple Cream,"['Earthy', 'Pungent', 'Berry']"
612,Blue Venom,"['Blueberry', 'Sweet', 'Berry']"
613,Yumboldt,"['Earthy', 'Sweet', 'Pungent']"
614,Purple Goo,"['Berry', 'Sweet', 'Earthy']"
615,The Black,"['Earthy', 'Woody', 'Spicy/Herbal']"
616,Frankenstein,"['Earthy', 'Lavender', 'Flowery']"
617,Super Lemon OG,"['Lemon', 'Diesel', 'Citrus']"
618,Jack’s Cleaner,"['Lemon', 'Lime', 'Earthy']"
619,Caramelicious,"['Sweet', 'Vanilla', 'Honey']"
620,Green Crack Extreme,"['Sweet', 'Earthy', 'Spicy/Herbal']"
621,Albert Walker,"['Pungent', 'Skunk', 'Flowery']"
622,Orange Dream,"['Orange', 'Citrus', 'Vanilla']"
623,Purple Cheese,"['Cheese', 'Sweet', 'Earthy']"
624,SinMint Cookies,"['Earthy', 'Sweet', 'Pungent']"
625,LA Chocolat,"['Coffee', 'Earthy', 'Sweet']"
626,Locktite,"['Diesel', 'Earthy', 'Citrus']"
627,Mango Tango,"['Mango', 'Peach', 'Tropical']"
628,Rockstar Kush,"['Earthy', 'Woody', 'Skunk']"
629,Ancient OG,"['Citrus', 'Pine', 'Lemon']"
630,Guava Kush,"['Tropical', 'Sweet', 'Nutty']"
631,Silver Pearl,"['Skunk', 'Honey', 'Citrus']"
632,Irene OG,"['Earthy', 'Lemon', 'Pungent']"
633,Swazi Gold,"['Earthy', 'Citrus', 'Spicy/Herbal']"
634,Black Russian,"['Citrus', 'Sweet', 'Pungent']"
635,Purple Nepal,"['Pungent', 'Sweet', 'Grape']"
636,Lost Coast OG,"['Citrus', 'Lemon', 'Earthy']"
637,Skunk Haze,"['Skunk', 'Earthy', 'Spicy/Herbal']"
638,Purple AK-47,"['Grape', 'Earthy', 'Citrus']"
639,Early Girl,"['Sweet', 'Citrus', 'Pungent']"
640,Chronic Thunder,"['Diesel', 'Earthy', 'Pungent']"
641,Cheesewreck,"['Cheese', 'BlueCheese', 'Pungent']"
642,Outer Space,"['Citrus', 'Sweet', 'Earthy']"
643,Hawaiian Dream,"['Tropical', 'Pineapple', 'Sweet']"
644,Red Diesel,"['Diesel', 'Orange', 'Berry']"
645,Silver Surfer,"['Sweet', 'Plum', 'Citrus']"
646,Mexican,"['Earthy', 'Tar', 'Woody']"
647,Wet Dream,"['Earthy', 'BlueCheese', 'Skunk']"
648,Blockhead,"['Earthy', 'Sweet', 'Pungent']"
649,El Jefe,"['Earthy', 'Spicy/Herbal', 'Citrus']"
650,Bio-Jesus,"['Earthy', 'Diesel', 'Chemical']"
651,DelaHaze,"['Earthy', 'Citrus', 'Sweet']"
652,White Dawg,"['Pine', 'Woody', 'Pungent']"
653,Hellfire OG,"['Earthy', 'Coffee', 'Tar']"
654,Sunshine,"['Citrus', 'Tropical', 'Lemon']"
655,White Walker Kush,"['Earthy', 'Woody', 'Spicy/Herbal']"
656,OGiesel,"['Diesel', 'Earthy', 'Pine']"
657,Incredible Hulk,"['Earthy', 'Tropical', 'Blueberry']"
658,Zombie OG,"['Earthy', 'Pungent', 'Sweet']"
659,White OG,"['Earthy', 'Woody', 'Pine']"
660,Satori,"['Woody', 'Earthy', 'Nutty']"
661,Popcorn Kush,"['Cheese', 'Butter', 'Earthy']"
662,Y Griega,"['Citrus', 'Lemon', 'Flowery']"
663,White Zombie,"['Sweet', 'Pungent', 'Earthy']"
664,Kaboom,"['Lemon', 'Earthy', 'Pine']"
665,Blue Trainwreck,"['Blueberry', 'Sweet', 'Citrus']"
666,Bubba’s Gift,"['Earthy', 'Berry', 'Grape']"
667,Critical Haze,"['Earthy', 'Citrus', 'Lemon']"
668,Apollo 11,"['Pine', 'Citrus', 'Pungent']"
669,Zeta Sage,"['Sage', 'Earthy', 'Lemon']"
670,LA OG,"['Earthy', 'Flowery', 'Woody']"
671,Grimace,"['Sweet', 'Berry', 'Earthy']"
672,Woody Kush,"['Woody', 'Pine', 'Nutty']"
673,Lemon Alien Dawg,"['Lemon', 'Sweet', 'Earthy']"
674,Berry Bomb,"['Berry', 'Blueberry', 'Pine']"
675,Jenny Kush,"['Nutty', 'Sweet', 'Citrus']"
676,Orange Diesel,"['Orange', 'Diesel', 'Sweet']"
677,Caramel Candy Kush,"['Sweet', 'Vanilla', 'Coffee']"
678,Warlock,"['Pine', 'Earthy', 'Sweet']"
679,Voodoo,"['Pungent', 'Tropical', 'Spicy/Herbal']"
680,Cheese Candy,"['Pungent', 'Flowery', 'Cheese']"
681,Green Monster,"['Earthy', 'Flowery', 'Sweet']"
682,Headbanger,"['Mango', 'Pungent', 'Sweet']"
683,Violet Delight,"['Flowery', 'Violet', 'TreeFruit']"
684,Triple Diesel,"['Diesel', 'Sweet', 'Pungent']"
685,Deep Sleep,"['Earthy', 'Tobacco', 'Lavender']"
686,Hardcore OG,"['Citrus', 'Pine', 'Lemon']"
687,Sugar Kush,"['Woody', 'Pine', 'Earthy']"
688,Dr. Grinspoon,"['Pine', 'Woody', 'Pepper']"
689,Critical Hog,"['Earthy', 'Woody', 'Pungent']"
690,Cali Gold,"['Lemon', 'Citrus', 'Lime']"
691,White Romulan,"['Earthy', 'Cheese', 'Pungent']"
692,Holland’s Hope,"['Citrus', 'Flowery', 'Woody']"
693,Mazar Kush,"['Flowery', 'Earthy', 'Rose']"
694,Blue Champagne,"['Blueberry', 'Cheese', 'Sweet']"
695,Gorilla Cookies,"['Earthy', 'Mint', 'Sweet']"
696,Orange Velvet,"['Orange', 'Citrus', 'Sweet']"
697,Chemmy Jones,"['Earthy', 'Pine', 'Flowery']"
698,Blueberry Jack,"['Blueberry', 'Earthy', 'Berry']"
699,Lime Skunk,"['Lime', 'Citrus', 'Skunk']"
700,Pure Afghan,"['Earthy', 'Spicy/Herbal', 'Woody']"
701,Shiatsu Kush,"['Sweet', 'Earthy', 'Nutty']"
702,Big Wreck,"['Earthy', 'Pungent', 'Flowery']"
703,Silver Bubble,"['Earthy', 'Woody', 'Sweet']"
704,Cannadential,"['Sweet', 'Woody', 'Berry']"
705,Jack Diesel,"['Woody', 'Diesel', 'Earthy']"
706,Berry OG,"['Berry', 'Flowery', 'Sweet']"
707,Hong Kong,"['Earthy', 'Spicy/Herbal', 'Flowery']"
708,StarBud,"['Menthol', 'Pine', 'Grape']"
709,Sunshine Daydream,"['Earthy', 'Sweet', 'Woody']"
710,Training Day,"['Earthy', 'Pungent', 'Violet']"
711,White Lavender,"['Lavender', 'Flowery', 'Earthy']"
712,Fire Alien Kush,"['Earthy', 'Woody', 'Pungent']"
713,Sour Haze,"['Citrus', 'Earthy', 'Diesel']"
714,Mt. Hood Magic,"['Berry', 'Pungent', 'Pine']"
715,Fruit Loops,"['Sweet', 'Berry', 'Citrus']"
716,White Cookies,"['Earthy', 'Sweet', 'Flowery']"
717,Skunkberry,"['Skunk', 'Berry', 'Blueberry']"
718,The Void,"['Earthy', 'Sweet', 'Skunk']"
719,Frosted Freak,"['Vanilla', 'Mint', 'Flowery']"
720,Medusa,"['Sweet', 'Pungent', 'Earthy']"
721,Cherry Kola,"['Berry', 'Sweet', 'Pungent']"
722,Duke Nukem,"['Earthy', 'Skunk', 'Flowery']"
723,Hurkle,"['Earthy', 'Nutty', 'Citrus']"
724,Sour Cookies,"['Diesel', 'Earthy', 'Pungent']"
725,Chocolate Hashberry,"['Sweet', 'Spicy/Herbal', 'Earthy']"
726,Wonka’s Bubblicious,"['Sweet', 'Berry', 'Blueberry']"
727,Gucci OG,"['Pine', 'Earthy', 'Berry']"
728,Alaska,"['Earthy', 'Sweet', 'Pine']"
729,Blue Boy,"['Blueberry', 'Spicy/Herbal', 'Flowery']"
730,Nordle,"['Earthy', 'Pine', 'Sweet']"
731,Bubblicious,"['Berry', 'Sweet', 'Earthy']"
732,Sour Strawberry Diesel,"['Diesel', 'Strawberry', 'Sweet']"
733,Purple Happy Rancher,"['Grape', 'Tropical', 'Flowery']"
734,ICED Grapefruit,"['Grapefruit', 'Citrus', 'Sweet']"
735,Golden Lemon,"['Lemon', 'Citrus', 'Pungent']"
736,Jesus,"['Earthy', 'Citrus', 'Pine']"
737,OG Wreck,"['Pepper', 'Sweet', 'Skunk']"
738,Chocolate Kush,"['Earthy', 'Woody', 'Pungent']"
739,Seattle Cough,"['Pine', 'Citrus', 'Grapefruit']"
740,Pink Lemonade,"['Lemon', 'Sweet', 'Citrus']"
741,Grapefruit Haze,"['Grapefruit', 'Earthy', 'Pepper']"
742,Jacky White,"['Flowery', 'Tropical', 'Earthy']"
743,Ed Rosenthal Super Bud,"['Spicy/Herbal', 'Nutty', 'Earthy']"
744,Emerald OG,"['Earthy', 'Citrus', 'Sweet']"
745,Sour Urkle,"['Citrus', 'Diesel', 'Berry']"
746,Blue Alien,"['Sweet', 'Berry', 'Blueberry']"
747,Afghan Haze,"['Earthy', 'Flowery', 'Pine']"
748,Cold Creek Kush,"['Sage', 'Diesel', 'Flowery']"
749,Rocklock,"['Earthy', 'Woody', 'Sweet']"
750,Blissful Wizard,"['Earthy', 'Lemon', 'Lime']"
751,Lemon Wreck,"['Lemon', 'Sweet', 'Earthy']"
752,Green Kush,"['Citrus', 'Pine', 'Flowery']"
753,Pineapple OG,"['Pineapple', 'Citrus', 'Tropical']"
754,8 Ball Kush,"['Spicy/Herbal', 'Earthy', 'Ammonia']"
755,Blue Power,"['Berry', 'Earthy', 'Blueberry']"
756,Secret Recipe,"['Earthy', 'Pine', 'Sweet']"
757,Orange Creamsicle,"['Citrus', 'Orange', 'Sweet']"
758,Liquid Butter,"['Butter', 'Sweet', 'Earthy']"
759,Mercury OG,"['Earthy', 'Woody', 'Pungent']"
760,Dark Side of the Moon,"['Berry', 'Sweet', 'Earthy']"
761,Strawberry Dream,"['Strawberry', 'Sweet', 'Berry']"
762,Blue Satellite,"['Sweet', 'Berry', 'Blueberry']"
763,Cindy White,"['Earthy', 'Pungent', 'Sweet']"
764,Forbidden Fruit,"['Grapefruit', 'Citrus', 'Tropical']"
765,Blue Dynamite,"['Earthy', 'Sweet', 'Blueberry']"
766,Black Dahlia,"['Sweet', 'Berry', 'Earthy']"
767,Pink Bubba,"['Earthy', 'Pungent', 'Pine']"
768,Super Sour Skunk,"['Flowery', 'Citrus', 'Pungent']"
769,Peaches and Cream,"['Peach', 'Skunk', 'Cheese']"
770,Hemlock,"['Citrus', 'Sage', 'Pine']"
771,Peppermint Cookies,"['Mint', 'Earthy', 'Woody']"
772,Money Maker,"['Earthy', 'Spicy/Herbal', 'Flowery']"
773,Night Nurse,"['Pine', 'Earthy', 'Woody']"
774,Black Cherry Cheesecake,"['Sweet', 'Pungent', 'Berry']"
775,Gumbo,"['Pine', 'Sweet', 'Pungent']"
776,Pearl Scout Cookies,"['Sweet', 'Pungent', 'Flowery']"
777,Romulan Grapefruit,"['Grapefruit', 'Citrus', 'Tropical']"
778,A-Dub,"['Diesel', 'Earthy', 'Sweet']"
779,Blueberry Silvertip,"['Earthy', 'Blueberry', 'Berry']"
780,Purple Passion,"['Pungent', 'Grape', 'Sweet']"
781,Narnia,"['Sweet', 'Earthy', 'Citrus']"
782,OG Skunk,"['Citrus', 'Skunk', 'Earthy']"
783,Dutch Treat Haze,"['Flowery', 'Earthy', 'Skunk']"
784,Hollywood OG,"['Earthy', 'Sweet', 'Diesel']"
785,Afghan Skunk,"['Woody', 'Skunk', 'Spicy/Herbal']"
786,Stephen Hawking Kush,"['Earthy', 'Mint', 'Woody']"
787,Jamaican,"['Earthy', 'Woody', 'Spicy/Herbal']"
788,Pink Cookies,"['Pepper', 'Sweet', 'Spicy/Herbal']"
789,Northern Skunk,"['Skunk', 'Pepper', 'Earthy']"
790,Urkle Train Haze,"['Sweet', 'Berry', 'Grape']"
791,Yeti OG,"['Earthy', 'Diesel', 'Nutty']"
792,Boss Hogg,"['Earthy', 'Sweet', 'Pine']"
793,Jamaican Pearl,"['Earthy', 'Pungent', 'Tropical']"
794,Booger,"['Sweet', 'Earthy', 'Berry']"
795,Tuna Kush,"['Earthy', 'Pungent', 'Woody']"
796,Purple Buddha,"['Berry', 'Sweet', 'Grape']"
797,Blueberry Pie,"['Blueberry', 'Berry', 'Sweet']"
798,Very Berry Haze,"['Berry', 'Sweet', 'Earthy']"
799,CBD Kush,"['Woody', 'Earthy', 'Spicy/Herbal']"
800,Pie Face OG,"['Sweet', 'Berry', 'Rose']"
801,The Flav,"['Flowery', 'Berry', 'Sweet']"
802,Jack Haze,"['Earthy', 'Woody', 'Pungent']"
803,BSC,"['Pungent', 'Skunk', 'Spicy/Herbal']"
804,RudeBoi OG,"['Earthy', 'Pine', 'Pungent']"
805,Sugar Plum,"['Berry', 'Earthy', 'Sweet']"
806,Dancehall,"['Earthy', 'Flowery', 'Spicy/Herbal']"
807,Tyson,"['Earthy', 'Diesel', 'Woody']"
808,Flowerbomb Kush,"['Pine', 'Spicy/Herbal', 'Skunk']"
809,Ice Queen,"['Sweet', 'Pepper', 'Spicy/Herbal']"
810,Northern Berry,"['Berry', 'Sweet', 'Earthy']"
811,Rollex OG Kush,"['Pine', 'Earthy', 'Sweet']"
812,Maui Bubble Gift,"['Sweet', 'Earthy', 'Woody']"
813,Snow Leopard,"['Earthy', 'Woody', 'Pine']"
814,NYPD,"['Diesel', 'Menthol', 'Earthy']"
815,Mexican Sativa,"['Pine', 'Earthy', 'Woody']"
816,Green Hornet,"['Citrus', 'Earthy', 'Tropical']"
817,Hawaiian Skunk,"['Earthy', 'Citrus', 'Skunk']"
818,Black Ice,"['Pine', 'Berry', 'Mint']"
819,Moose and Lobsta,"['Sweet', 'Skunk', 'Citrus']"
820,Strawberry Blue,"['Berry', 'Strawberry', 'Sweet']"
821,Sour Maui,"['Citrus', 'Sweet', 'Tropical']"
822,The Grunk,"['Grape', 'Skunk', 'Sweet']"
823,Pakistani Chitral Kush,"['Earthy', 'Flowery', 'Violet']"
824,Critical Cheese,"['Cheese', 'Citrus', 'Earthy']"
825,Bubblegun,"['Sweet', 'Pepper', 'Mint']"
826,Hurricane,"['Berry', 'Citrus', 'Lemon']"
827,Pink Champagne,"['Berry', 'Sweet', 'Grape']"
828,Mako Haze,"['Pine', 'Spicy/Herbal', 'Cheese']"
829,Brainstorm Haze,"['Spicy/Herbal', 'Sweet', 'Earthy']"
830,Afghani CBD,"['Flowery', 'Spicy/Herbal', 'Earthy']"
831,White Diesel,"['Diesel', 'Flowery', 'Earthy']"
832,Cloud 9,"['Flowery', 'Rose', 'Pine']"
833,Walter White,"['Earthy', 'Woody', 'Citrus']"
834,Lemonberry,"['Lemon', 'Berry', 'Earthy']"
835,Grandpa Larry OG,"['Sweet', 'Sage', 'Grapefruit']"
836,Haole,"['Earthy', 'Sweet', 'Woody']"
837,Viper,"['Sweet', 'Citrus', 'Flowery']"
838,Kurple Fantasy,"['Sweet', 'Grape', 'Berry']"
839,Dream Beaver,"['Earthy', 'Citrus', 'BlueCheese']"
840,Earth OG,"['Earthy', 'Woody', 'Pungent']"
841,Lemonhead OG,"['Lemon', 'Citrus', 'Sweet']"
842,Danky Doodle,"['Sweet', 'Pungent', 'Skunk']"
843,Blue Hash,"['Blueberry', 'Earthy', 'Sweet']"
844,Space Dawg,"['Pine', 'Spicy/Herbal', 'Tobacco']"
845,Pineapple Super Silver Haze,"['Pineapple', 'Citrus', 'Diesel']"
846,Brand X,"['Tar', 'Earthy', 'Citrus']"
847,Verde Electric,"['Woody', 'Earthy', 'Sweet']"
848,Himalayan Gold,"['Earthy', 'Spicy/Herbal', 'Sweet']"
849,Dr. Funk,"['Berry', 'Blueberry', 'Earthy']"
850,The Sauce,"['Earthy', 'Lime', 'Pine']"
851,Humboldt,"['Earthy', 'Woody', 'Pine']"
852,Tahoe Alien,"['Earthy', 'Citrus', 'Lemon']"
853,Blueberry Dream,"['Blueberry', 'Berry', 'Sweet']"
854,Love Potion #9,"['Flowery', 'Earthy', 'Citrus']"
855,Blue Afghani,"['Pungent', 'Earthy', 'Blueberry']"
856,Lake of Fire,"['Earthy', 'Diesel', 'Pine']"
857,Willy Wonka,"['Sweet', 'Diesel', 'Chemical']"
