,Strain Name,Feelings,Type,Cannabinoids,Rating,Rating Users,Left Parent,Right Parent,Left Child,Right Child
1410,Geezy,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '24%', 'CBD': '—', 'CBG': None}",,,,,,
1411,Or,"{'Feelings': ['Hungry ', 'Relaxed ', 'Happy ', 'Sleepy ', 'Euphoric '], 'Negatives': ['Dry mouth ', 'Headache ', None, None, None], 'Helps with': ['Pain ', 'Lack of appetite ', 'Stress ', 'Insomnia ', 'Depression ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.4,24,,,,
1412,L.A.K. Federal Reserve,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Uplifted ', 'Hungry ', 'Happy '], 'Negatives': ['Dry eyes ', 'Dry mouth ', None, None, None], 'Helps with': ['Headaches ', 'Pain ', 'Stress ', 'Anxiety ', 'Depression ']}",Indica,"{'THC': None, 'CBD': None, 'CBG': None}",4.9,18,SFV OG,N/A,,
1413,Critical Widow,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Euphoric ', 'Happy ', 'Tingly '], 'Negatives': ['Dry eyes ', 'Dry mouth ', 'Dizzy ', None, None], 'Helps with': ['Stress ', 'Pain ', 'Depression ', 'Inflammation ', 'Lack of appetite ']}",Hybrid,"{'THC': '14%', 'CBD': None, 'CBG': '1%'}",4.3,38,White Widow,Critical Mass,,
1414,Gascotti,"{'Feelings': ['Euphoric ', None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",5.0,2,,,,
1415,Colin OG S1,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Creative '], 'Negatives': ['Dry eyes ', 'Dry mouth ', 'Dizzy ', None, None], 'Helps with': ['Depression ', 'Stress ', 'Anxiety ', 'Headaches ', 'Lack of appetite ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.9,9,Sour Diesel,The White,,
1416,King Crasher,"{'Feelings': ['Relaxed ', 'Euphoric ', 'Sleepy ', 'Hungry ', 'Happy '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Insomnia ', 'Stress ', 'Anxiety ', 'Hypertension ', None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.8,4,,,,
1417,Black Roses,"{'Feelings': ['Relaxed ', 'Happy ', 'Uplifted ', 'Sleepy ', 'Giggly '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Anxiety ', 'Pain ', 'Depression ', 'Fatigue ', 'Headaches ']}",Indica,"{'THC': '25%', 'CBD': '—', 'CBG': None}",4.7,12,Headband,Early Girl,,
1418,Game Changer,"{'Feelings': ['Relaxed ', 'Uplifted ', 'Happy ', 'Euphoric ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Anxious '], 'Helps with': ['Stress ', 'Depression ', 'Anxiety ', 'Pain ', 'Headaches ']}",Hybrid,"{'THC': '18%', 'CBD': '—', 'CBG': None}",4.4,122,Thai,Purple Dragon,,
1419,Blue Kripple,"{'Feelings': ['Sleepy ', 'Relaxed ', 'Tingly ', 'Euphoric ', 'Happy '], 'Negatives': ['Dizzy ', 'Dry mouth ', 'Paranoid ', 'Dry eyes ', 'Headache '], 'Helps with': ['Pain ', 'Anxiety ', 'Eye pressure ', 'Headaches ', 'Insomnia ']}",Indica,"{'THC': '14%', 'CBD': None, 'CBG': '1%'}",3.8,18,Big Bud,Blue Rhino,,
1420,White Lavender,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Headache ', 'Dizzy ', 'Anxious '], 'Helps with': ['Stress ', 'Pain ', 'Depression ', 'Inflammation ', 'Lack of appetite ']}",Hybrid,"{'THC': '16%', 'CBD': '—', 'CBG': None}",4.1,63,White Widow,Lavender,,
1421,Lychee,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",4.5,6,,,,
1422,Golden Triangle,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '24%', 'CBD': None, 'CBG': '1%'}",5.0,1,,,,
1423,Harley Storm,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Euphoric ', 'Creative ', 'Tingly '], 'Negatives': ['Dry eyes ', 'Dry mouth ', 'Paranoid ', None, None], 'Helps with': ['Pain ', 'Stress ', 'Inflammation ', 'Muscle spasms ', 'Arthritis ']}",Sativa,"{'THC': None, 'CBD': None, 'CBG': None}",4.8,8,Harle-Tsu,Thunderstruck,,
1424,Dream Berry,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Hungry ', 'Uplifted ', 'Happy '], 'Negatives': ['Dry mouth ', 'Dizzy ', 'Dry eyes ', 'Headache ', None], 'Helps with': ['Pain ', 'Stress ', 'Depression ', 'Fatigue ', 'Insomnia ']}",Indica,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.5,40,Blue Dream,Blackberry,,
1425,BreathMints,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '17%', 'CBD': None, 'CBG': '1%'}",,,,,,
1426,First 48,"{'Feelings': ['Relaxed ', 'Happy ', 'Uplifted ', 'Euphoric ', 'Focused '], 'Negatives': ['Dry mouth ', 'Paranoid ', 'Dizzy ', 'Dry eyes ', None], 'Helps with': ['Stress ', 'Depression ', 'Anxiety ', 'Pain ', 'PTSD ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.3,28,The White,N/A,,
1427,Swiss Cheese,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",5.0,2,,,,
1428,OG Glue Sniffer,"{'Feelings': ['Relaxed ', 'Happy ', 'Giggly ', 'Euphoric ', 'Uplifted '], 'Negatives': ['Dry eyes ', 'Dry mouth ', None, None, None], 'Helps with': ['Stress ', 'Depression ', 'Inflammation ', 'Muscle spasms ', 'Pain ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.6,17,GG4,N/A,,
1429,Blanco,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
1430,Mt. Rainier,"{'Feelings': ['Relaxed ', 'Happy ', 'Uplifted ', 'Tingly ', 'Aroused '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', None, None], 'Helps with': ['Stress ', 'Anxiety ', 'Arthritis ', 'PTSD ', 'Fatigue ']}",Hybrid,"{'THC': '18%', 'CBD': '—', 'CBG': None}",4.7,15,Northern Lights #5,White Lotus,Locktite,Purple Diamond
1431,Dragon Tails,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '22%', 'CBD': None, 'CBG': '1%'}",,,,,,
1432,Supernatural,"{'Feelings': ['Relaxed ', 'Euphoric ', 'Uplifted ', 'Focused ', 'Creative '], 'Negatives': ['Dry eyes ', None, None, None, None], 'Helps with': ['Depression ', 'Pain ', 'Stress ', 'ADD', 'Anxiety ']}",Sativa,"{'THC': '19%', 'CBD': '—', 'CBG': None}",4.4,21,Grape Ape,The Flav,,
1433,Dogwalker OG,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Sleepy '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Anxious ', 'Dizzy ', 'Headache '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Depression ', 'Insomnia ']}",Hybrid,"{'THC': '22%', 'CBD': None, 'CBG': '1%'}",4.6,296,Chem 91,Albert Walker,Elephant Ears,Dog Face
1434,Best Friend OG,"{'Feelings': ['Relaxed ', 'Giggly ', 'Focused ', 'Euphoric ', 'Energetic '], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.5,4,Purple Haze,Hell's OG,,
1435,OG Shark,"{'Feelings': ['Relaxed ', 'Happy ', 'Uplifted ', 'Euphoric ', 'Sleepy '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Anxious ', 'Dizzy '], 'Helps with': ['Pain ', 'Stress ', 'Anxiety ', 'Depression ', 'Insomnia ']}",Hybrid,"{'THC': '21%', 'CBD': '—', 'CBG': None}",4.5,138,,,,
1436,Lowryder,"{'Feelings': ['Relaxed ', 'Happy ', 'Uplifted ', 'Euphoric ', 'Creative '], 'Negatives': ['Dry mouth ', 'Paranoid ', 'Dizzy ', 'Dry eyes ', None], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Insomnia ', 'Depression ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.4,33,Northern Lights,Willy's Wonder,Purple Cheese,White Ryder
1437,Kushage,"{'Feelings': ['Uplifted ', 'Happy ', 'Euphoric ', 'Creative ', 'Energetic '], 'Negatives': ['Dry eyes ', 'Dry mouth ', 'Dizzy ', 'Paranoid ', 'Anxious '], 'Helps with': ['Pain ', 'Stress ', 'Muscle spasms ', 'Depression ', 'Anxiety ']}",Hybrid,"{'THC': '20%', 'CBD': '—', 'CBG': None}",4.3,34,OG Kush,SAGE,,
1438,Spring Solstice,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",,,,,,
1439,Can't Touch This,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
1440,Pink Hawaiian,"{'Feelings': ['Uplifted ', 'Happy ', 'Energetic ', 'Relaxed ', 'Focused '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Depression ', 'Stress ', 'Fatigue ', 'ADD', 'Anxiety ']}",Hybrid,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.9,7,Cotton Candy,Hawaiian,,
1441,Sugar Cookies,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '20%', 'CBD': None, 'CBG': '1%'}",3.3,3,,,,
1442,Sweet Dreams,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Indica,"{'THC': None, 'CBD': None, 'CBG': None}",4.4,8,,,,
1443,Django,"{'Feelings': ['Energetic ', 'Talkative ', 'Happy ', 'Euphoric ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Headache ', 'Anxious ', 'Dizzy '], 'Helps with': ['Stress ', 'Depression ', 'Muscle spasms ', 'Fatigue ', 'Insomnia ']}",Sativa,"{'THC': None, 'CBD': None, 'CBG': None}",4.6,16,Blueberry,Jack Flash,,
1444,AAA OG,"{'Feelings': ['Happy ', 'Relaxed ', 'Uplifted ', 'Giggly ', 'Euphoric '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '21%', 'CBD': None, 'CBG': '1%'}",4.0,6,,,,
1445,Goat Head,"{'Feelings': ['Relaxed ', 'Euphoric ', 'Aroused ', 'Uplifted ', 'Tingly '], 'Negatives': ['Dizzy ', 'Dry mouth ', None, None, None], 'Helps with': ['Insomnia ', 'Nausea ', 'Pain ', 'Stress ', 'Depression ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.8,4,Headband,Golden Goat,,
1446,Northern Wonder,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Hungry ', 'Happy ', 'Euphoric '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Depression ', 'Headaches ', 'Insomnia ', 'Pain ', 'Stress ']}",,"{'THC': None, 'CBD': None, 'CBG': None}",4.0,1,,,,
1447,Kaua’i Electric,"{'Feelings': ['Happy ', 'Relaxed ', 'Euphoric ', 'Energetic ', 'Creative '], 'Negatives': ['Dry eyes ', 'Dry mouth ', 'Paranoid ', None, None], 'Helps with': ['Depression ', 'Stress ', 'Fatigue ', 'Lack of appetite ', 'Pain ']}",Sativa,"{'THC': None, 'CBD': None, 'CBG': None}",4.8,10,,,,
1448,Dancehall,"{'Feelings': ['Happy ', 'Relaxed ', 'Uplifted ', 'Focused ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Anxious ', 'Paranoid ', 'Headache '], 'Helps with': ['Pain ', 'Depression ', 'Stress ', 'Anxiety ', 'Inflammation ']}",Hybrid,"{'THC': None, 'CBD': '14%', 'CBG': '1%'}",4.2,61,,,,
1449,Bundy,"{'Feelings': ['Relaxed ', 'Focused ', 'Uplifted ', 'Happy ', None], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.0,2,,,,
1450,Juicy Jack,"{'Feelings': ['Uplifted ', 'Happy ', 'Euphoric ', 'Creative ', 'Talkative '], 'Negatives': ['Dry mouth ', 'Dizzy ', 'Dry eyes ', 'Headache ', None], 'Helps with': ['Anxiety ', 'Pain ', 'Depression ', 'Insomnia ', 'Stress ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.3,23,Jack Herer,Juicy Fruit,,
1451,Citrus Punch,"{'Feelings': ['Happy ', 'Uplifted ', 'Relaxed ', 'Focused ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Anxious ', 'Dizzy ', 'Dry eyes ', None], 'Helps with': ['Depression ', 'Fatigue ', 'Stress ', 'Lack of appetite ', 'Nausea ']}",Sativa,"{'THC': '11%', 'CBD': '—', 'CBG': None}",4.3,32,Clementine,Sour Tangie,,
1452,Pineapple Purps,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Happy ', 'Focused ', 'Euphoric '], 'Negatives': ['Dry mouth ', 'Anxious ', None, None, None], 'Helps with': ['Anxiety ', 'PTSD ', 'Depression ', 'Fatigue ', 'Lack of appetite ']}",Sativa,"{'THC': '17%', 'CBD': None, 'CBG': '1%'}",4.4,21,,,,
1453,Jack’s Girl,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '21%', 'CBD': None, 'CBG': '3%'}",5.0,3,White Widow,G13,,
1454,Forest Park Purple,"{'Feelings': ['Tingly ', 'Sleepy ', 'Relaxed ', 'Happy ', 'Euphoric '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Cramps ', 'Depression ', 'Headaches ', 'Inflammation ', 'Insomnia ']}",,"{'THC': None, 'CBD': None, 'CBG': None}",5.0,1,,,,
1455,Lashkar Gah,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Euphoric ', 'Happy ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', None, None, None], 'Helps with': ['Pain ', 'Stress ', 'PTSD ', 'Insomnia ', 'Lack of appetite ']}",Indica,"{'THC': None, 'CBD': None, 'CBG': None}",4.7,15,Afghani,N/A,,
1456,Pineapple Fields,"{'Feelings': ['Happy ', 'Uplifted ', 'Euphoric ', 'Relaxed ', 'Giggly '], 'Negatives': ['Dry mouth ', 'Anxious ', 'Paranoid ', 'Dry eyes ', 'Dizzy '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Inflammation ', 'Depression ']}",Sativa,"{'THC': '18%', 'CBD': None, 'CBG': '2%'}",4.4,46,Pineapple,Kali Mist,,
1457,Wedding Cake,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Anxious ', 'Paranoid '], 'Helps with': ['Stress ', 'Anxiety ', 'Depression ', 'Pain ', 'Insomnia ']}",Hybrid,"{'THC': '22%', 'CBD': None, 'CBG': '1%'}",4.6,1516,GSC,Cherry Pie,Ice Cream Cake,LA Kush Cake
1458,Cruise 232,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
1459,Gello Banana,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
1460,Ecto Cooler,"{'Feelings': ['Happy ', 'Relaxed ', 'Uplifted ', 'Focused ', 'Euphoric '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Anxious ', 'Headache ', 'Dizzy '], 'Helps with': ['Stress ', 'Depression ', 'Pain ', 'Anxiety ', 'PTSD ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.4,69,California Orange,Gorilla Biscuit,,
1461,Flo,"{'Feelings': ['Happy ', 'Uplifted ', 'Euphoric ', 'Relaxed ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Headache ', 'Anxious ', 'Dizzy '], 'Helps with': ['Stress ', 'Depression ', 'Anxiety ', 'Pain ', 'Fatigue ']}",Hybrid,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.1,640,Afghani,Purple Thai,Gello,Flo OG
1462,Triple Whammy,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Happy ', 'Tingly ', 'Euphoric '], 'Negatives': ['Anxious ', 'Dry mouth ', None, None, None], 'Helps with': ['Stress ', 'Depression ', 'Fatigue ', 'Inflammation ', 'Headaches ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.5,10,,,,
1463,Diamond Dust,"{'Feelings': ['Uplifted ', 'Happy ', 'Energetic ', 'Focused ', 'Relaxed '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Depression ', 'Stress ', 'Fatigue ', 'Lack of appetite ', 'Anxiety ']}",Hybrid,"{'THC': '22%', 'CBD': None, 'CBG': '1%'}",4.7,11,,,,
1464,Dream Wedding,"{'Feelings': ['Uplifted ', 'Tingly ', 'Happy ', 'Focused ', None], 'Negatives': ['Anxious ', None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '25%', 'CBD': None, 'CBG': '2%'}",5.0,1,,,,
1465,Gummo,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Focused '], 'Negatives': ['Dry mouth ', 'Dizzy ', 'Dry eyes ', 'Headache ', None], 'Helps with': ['Insomnia ', 'Stress ', 'Depression ', 'Pain ', 'Anxiety ']}",Hybrid,"{'THC': '17%', 'CBD': None, 'CBG': '1%'}",4.4,20,Bubble Gum,Orange Bud,,
1466,Bubba Diesel,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '15%', 'CBD': '—', 'CBG': None}",,,Sour Diesel,Bubba Kush,,
1467,Washing Machine,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Sleepy ', 'Uplifted '], 'Negatives': ['Dry eyes ', 'Dry mouth ', None, None, None], 'Helps with': ['Pain ', 'Stress ', 'Headaches ', 'Insomnia ', 'Eye pressure ']}",Indica,"{'THC': None, 'CBD': None, 'CBG': None}",4.5,11,Bubba Kush,Exodus Cheese,,
1468,Blue Velvet,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Creative ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Headache ', 'Anxious ', 'Dizzy '], 'Helps with': ['Fatigue ', 'Lack of appetite ', 'Depression ', 'Muscle spasms ', 'Pain ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.3,30,Afghani,Purple Thai,,
1469,Blueberry Skunk,"{'Feelings': ['Relaxed ', 'Euphoric ', 'Happy ', 'Uplifted ', 'Giggly '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Anxious ', 'Paranoid '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Depression ', 'Muscle spasms ']}",Indica,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",4.3,125,Blueberry,N/A,,
1470,Afghan Skunk,"{'Feelings': ['Relaxed ', 'Happy ', 'Sleepy ', 'Hungry ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Headache ', 'Anxious '], 'Helps with': ['Stress ', 'Anxiety ', 'Insomnia ', 'Lack of appetite ', 'Pain ']}",Indica,"{'THC': '13%', 'CBD': None, 'CBG': '1%'}",4.4,60,Skunk 1,Afghani,Remedy,Ash
1471,Lemon Drop Haze,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '20%', 'CBD': '—', 'CBG': None}",,,,,,
1472,BC Roadkill,"{'Feelings': ['Euphoric ', 'Giggly ', 'Uplifted ', 'Happy ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Anxious '], 'Helps with': ['Stress ', 'Anxiety ', 'Pain ', 'Depression ', 'Nausea ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.0,32,Skunk 1,Deep Chunk,,
1473,Tangie Sunrise,"{'Feelings': ['Relaxed ', 'Uplifted ', 'Happy ', 'Talkative ', 'Euphoric '], 'Negatives': ['Dry eyes ', 'Dry mouth ', 'Paranoid ', None, None], 'Helps with': ['Inflammation ', 'Stress ', 'Pain ', 'Depression ', 'Lack of appetite ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.8,9,Jack Herer,Orange Crush,,
1474,The White,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Sleepy '], 'Negatives': ['Dry mouth ', 'Dizzy ', 'Dry eyes ', 'Anxious ', 'Paranoid '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Insomnia ', 'Depression ']}",Hybrid,"{'THC': '21%', 'CBD': None, 'CBG': '1%'}",4.5,365,,,,
1475,Mother Tongue,"{'Feelings': ['Happy ', 'Euphoric ', 'Uplifted ', 'Focused ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Anxious ', 'Dry eyes ', 'Dizzy ', 'Paranoid '], 'Helps with': ['Stress ', 'Fatigue ', 'Lack of appetite ', 'Inflammation ', 'ADD']}",Sativa,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",4.5,31,Afgooey,N/A,,
1476,Kush-N-Cheese,"{'Feelings': ['Uplifted ', 'Happy ', 'Sleepy ', 'Relaxed ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dizzy ', None, None, None], 'Helps with': ['Depression ', 'Pain ', 'Stress ', 'Fatigue ', 'Lack of appetite ']}",Hybrid,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",4.2,12,UK Cheese,Emerald OG,,
1477,Animal OG,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '17%', 'CBD': None, 'CBG': '1%'}",,,,,,
1478,Remedy,"{'Feelings': ['Relaxed ', 'Happy ', 'Uplifted ', 'Focused ', 'Sleepy '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Headache ', 'Anxious ', 'Dizzy '], 'Helps with': ['Pain ', 'Anxiety ', 'Stress ', 'Inflammation ', 'Headaches ']}",Indica,"{'THC': '1%', 'CBD': '13%', 'CBG': None}",4.6,138,Cannatonic,Afghan Skunk,,
1479,Sour Pink Grapefruit,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.4,7,,,,
1480,Affie Taffie,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Indica,"{'THC': '18%', 'CBD': '—', 'CBG': None}",3.0,1,,,,
1481,Pineapple Muffin,"{'Feelings': ['Relaxed ', 'Focused ', 'Creative ', 'Euphoric ', 'Uplifted '], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.7,3,Blueberry Muffin,Pineapple Trainwreck,,
1482,Santa Maria,"{'Feelings': ['Uplifted ', 'Happy ', 'Relaxed ', 'Euphoric ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Anxious ', 'Dizzy ', 'Paranoid '], 'Helps with': ['Stress ', 'Depression ', 'Lack of appetite ', 'Pain ', 'Headaches ']}",Sativa,"{'THC': '12%', 'CBD': None, 'CBG': '1%'}",4.3,95,Silver Pearl,N/A,,
1483,Siddhartha’s Dream,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",,,Buddha’s Tooth,N/A,,
1484,Blue Zkittlez,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Anxious ', 'Headache '], 'Helps with': ['Depression ', 'Stress ', 'Anxiety ', 'Pain ', 'Lack of appetite ']}",Indica,"{'THC': '15%', 'CBD': '—', 'CBG': None}",4.6,116,Zkittlez,Blue Diamond,,
1485,Green Crack Extreme,"{'Feelings': ['Euphoric ', 'Energetic ', 'Happy ', 'Creative ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Headache ', 'Anxious '], 'Helps with': ['Stress ', 'Depression ', 'Anxiety ', 'Fatigue ', 'Pain ']}",Sativa,"{'THC': None, 'CBD': None, 'CBG': None}",4.4,72,Green Crack,N/A,,
1486,GG5,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Sleepy ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Anxious ', 'Headache '], 'Helps with': ['Stress ', 'Pain ', 'Insomnia ', 'Depression ', 'Anxiety ']}",Hybrid,"{'THC': '20%', 'CBD': None, 'CBG': '1%'}",4.5,137,Sour Dubb,Chocolate Diesel,,
1487,Guava Dawg,"{'Feelings': ['Giggly ', 'Relaxed ', 'Talkative ', 'Sleepy ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dizzy ', 'Paranoid ', 'Anxious ', None], 'Helps with': ['Stress ', 'Depression ', 'Insomnia ', 'Anxiety ', None]}",Hybrid,"{'THC': '18%', 'CBD': '—', 'CBG': None}",4.6,18,Stardawg,Afghani,,
1488,Afghan Widow,"{'Feelings': ['Euphoric ', 'Uplifted ', 'Focused ', 'Energetic ', 'Tingly '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Depression ', 'Stress ', None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.7,9,White Widow,Afghan Kush,,
