,Strain Name,Feelings,Type,Cannabinoids,Rating,Rating Users,Left Parent,Right Parent,Left Child,Right Child
15,King Louis,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Happy ', 'Euphoric ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Headache '], 'Helps with': ['Insomnia ', 'Stress ', 'Pain ', 'Anxiety ', 'Depression ']}",Indica,"{'THC': '21%', 'CBD': None, 'CBG': '1%'}",4.6,899,OG Kush,N/A,Gremlin,Gandalf OG
16,Durban Berry,"{'Feelings': ['Happy ', 'Relaxed ', 'Creative ', 'Uplifted ', 'Focused '], 'Negatives': ['Dry mouth ', 'Dry eyes ', None, None, None], 'Helps with': ['Stress ', 'Depression ', 'Anxiety ', 'Fatigue ', 'Headaches ']}",Hybrid,"{'THC': '17%', 'CBD': None, 'CBG': '1%'}",4.7,29,Durban Poison,Rocky Mountain Blueberry,,
17,Harlem,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '5%', 'CBD': '9%', 'CBG': None}",,,East Coast Sour Diesel,Anesthesia,,
18,Champion City Chocolate,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.0,1,,,,
19,Piña Collision,"{'Feelings': ['Uplifted ', 'Focused ', 'Energetic ', 'Relaxed ', 'Creative '], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Sativa,"{'THC': None, 'CBD': None, 'CBG': None}",4.3,6,,,,
20,Thai Haze,"{'Feelings': ['Happy ', 'Creative ', 'Energetic ', 'Aroused ', 'Focused '], 'Negatives': ['Anxious ', 'Dizzy ', 'Dry mouth ', 'Dry eyes ', 'Headache '], 'Helps with': ['Depression ', 'Anxiety ', 'Pain ', 'Stress ', 'ADD']}",Sativa,"{'THC': None, 'CBD': None, 'CBG': None}",4.4,26,Haze,Thai,Atomic Northern Lights,Brainstorm Haze
21,Mercury OG,"{'Feelings': ['Euphoric ', 'Relaxed ', 'Happy ', 'Uplifted ', 'Giggly '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', None], 'Helps with': ['Stress ', 'Depression ', 'Pain ', 'Anxiety ', 'Insomnia ']}",Indica,"{'THC': '19%', 'CBD': '—', 'CBG': None}",4.4,50,,,,
22,Russian Rocket Fuel,"{'Feelings': ['Happy ', 'Euphoric ', 'Uplifted ', 'Hungry ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', None, None], 'Helps with': ['Anxiety ', 'Insomnia ', 'Nausea ', 'Pain ', 'Stress ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",3.9,26,NYC Diesel,N/A,,
23,West Coast Willie,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",,,Willie Nelson,N/A,,
24,Gusher Pie,"{'Feelings': ['Talkative ', 'Relaxed ', 'Happy ', 'Giggly ', 'Focused '], 'Negatives': ['Dry eyes ', None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.0,2,,,,
25,Purple Arrow,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Euphoric ', 'Happy ', 'Focused '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Headache ', 'Anxious '], 'Helps with': ['Pain ', 'Stress ', 'Anxiety ', 'Depression ', 'Nausea ']}",Hybrid,"{'THC': '19%', 'CBD': None, 'CBG': '1%'}",4.1,104,,,,
26,Prom Queen,"{'Feelings': ['Relaxed ', 'Hungry ', 'Giggly ', 'Creative ', None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.0,1,High School Sweetheart,Deep Breath,,
27,Deep Sleep,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Euphoric ', 'Happy ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Anxious ', 'Headache '], 'Helps with': ['Insomnia ', 'Pain ', 'Stress ', 'Depression ', 'Muscle spasms ']}",Indica,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.5,69,Larry OG,Pre-98 Bubba Kush,,
28,Sour Tangie,"{'Feelings': ['Happy ', 'Uplifted ', 'Energetic ', 'Euphoric ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Anxious ', 'Dizzy ', 'Headache '], 'Helps with': ['Depression ', 'Stress ', 'Anxiety ', 'Fatigue ', 'Pain ']}",Sativa,"{'THC': '18%', 'CBD': '—', 'CBG': None}",4.6,620,Tangie,East Coast Sour Diesel,Citrus Punch,Sour Star Head
29,Guicy Banger,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '21%', 'CBD': None, 'CBG': '1%'}",,,,,,
30,Alion,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Happy ', 'Tingly ', 'Talkative '], 'Negatives': ['Anxious ', 'Paranoid ', 'Dizzy ', 'Dry mouth ', 'Headache '], 'Helps with': ['Depression ', 'Fatigue ', 'Headaches ', 'Inflammation ', 'Insomnia ']}",Hybrid,"{'THC': '16%', 'CBD': None, 'CBG': '1%'}",4.4,5,Blue Dream,Alien Kush,,
31,Chong Star,"{'Feelings': ['Relaxed ', 'Happy ', 'Uplifted ', 'Euphoric ', 'Creative '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Depression ', 'Lack of appetite ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.5,25,,,,
32,Glass Slipper,"{'Feelings': ['Uplifted ', 'Happy ', 'Euphoric ', 'Relaxed ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Headache ', 'Anxious ', 'Dizzy '], 'Helps with': ['Depression ', 'Stress ', 'Anxiety ', 'Pain ', 'PTSD ']}",Hybrid,"{'THC': '16%', 'CBD': '—', 'CBG': None}",4.3,245,Cinderella 99,Pineapple,Glass Apple,White Slipper
33,White Papaya,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '23%', 'CBD': None, 'CBG': '1%'}",5.0,1,,,,
34,Early Queen,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '1%', 'CBD': '17%', 'CBG': None}",,,,,,
35,Hardcore OG,"{'Feelings': ['Relaxed ', 'Happy ', 'Sleepy ', 'Euphoric ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Headache ', 'Anxious '], 'Helps with': ['Stress ', 'Pain ', 'Insomnia ', 'Depression ', 'Headaches ']}",Indica,"{'THC': '20%', 'CBD': '—', 'CBG': None}",4.6,125,Big Bud,DJ Short Blueberry,,
36,G-Force,"{'Feelings': ['Relaxed ', 'Hungry ', 'Happy ', 'Focused ', 'Euphoric '], 'Negatives': ['Dry eyes ', 'Dry mouth ', None, None, None], 'Helps with': ['Lack of appetite ', 'Pain ', 'Stress ', 'ADD', 'Anxiety ']}",Indica,"{'THC': '16%', 'CBD': '—', 'CBG': None}",5.0,4,Northern Lights,G13,,
37,Red Velvet Pie,"{'Feelings': ['Happy ', 'Euphoric ', 'Uplifted ', 'Giggly ', 'Relaxed '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Depression ', 'Insomnia ', 'Stress ', None, None]}",Hybrid,"{'THC': '21%', 'CBD': '—', 'CBG': None}",5.0,11,Cherry Pie,N/A,,
38,Irish Cream,"{'Feelings': ['Relaxed ', 'Uplifted ', 'Happy ', 'Euphoric ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Headache ', 'Paranoid ', None, None], 'Helps with': ['Depression ', 'Stress ', 'Muscle spasms ', 'Arthritis ', 'Eye pressure ']}",Indica,"{'THC': '26%', 'CBD': None, 'CBG': '1%'}",4.7,13,,,,
39,Electric Velvet,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '19%', 'CBD': None, 'CBG': '1%'}",,,,,,
40,Orange Bud,"{'Feelings': ['Happy ', 'Euphoric ', 'Uplifted ', 'Energetic ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Headache '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Depression ', 'Insomnia ']}",Hybrid,"{'THC': '19%', 'CBD': None, 'CBG': '1%'}",4.2,250,Skunk 1,N/A,Orange Kush,Passion Fruit
41,OGKB,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Sleepy ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Anxious ', 'Paranoid '], 'Helps with': ['Pain ', 'Stress ', 'Depression ', 'Insomnia ', 'Anxiety ']}",Hybrid,"{'THC': '24%', 'CBD': None, 'CBG': '1%'}",4.4,60,GSC,N/A,Do-Si-Dos,Mendo Breath
42,Jack's Cleaner,"{'Feelings': ['Euphoric ', 'Happy ', 'Energetic ', 'Focused ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Anxious ', 'Dizzy '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Depression ', 'Fatigue ']}",Sativa,"{'THC': '16%', 'CBD': None, 'CBG': '1%'}",4.2,80,Jack Herer,N/A,Jack the Ripper,3D
