Strain Name,Type,Rating,Rating Users,Left Parent,Right parent,Left Child,Right Child,Feeling_1,Feeling_2,Feeling_3,Feeling_4,Feeling_5,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Helps with_1,Helps with_2,Helps with_3,Helps with_4,Helps with_5,THC,CBD,CBG
Bergamot,Hybrid,,,Afghani,N/A,,,,,,,,,,,,,,,,,,,,
Jawa Kush,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Sour Cream,Hybrid,4.2,86,Sour Diesel,G13 Haze,Aspen OG,Lemon Créme,Happy,Relaxed,Uplifted,Euphoric,Focused,Dry,Dry,Dizzy,Anxious,Paranoid,Stress,Depression,Pain,Anxiety,Fatigue,20%,,1%
Abracadabra,,,,,,,,,,,,,,,,,,,,,,,,,
CHR Super OG,Indica,4.1,17,Tahoe OG,Mazar x Blueberry OG,,,Relaxed,Giggly,Sleepy,Happy,Uplifted,Dry,Paranoid,Anxious,Dizzy,Dry,Headaches,Insomnia,Eye,Lack,Muscle,21%,—,
La Blanca Gold,Indica,4.2,5,Skunk 1,Super Skunk,,,Relaxed,Euphoric,Tingly,Uplifted,Talkative,Dry,,,,,Fatigue,Stress,Bipolar,Depression,Inflammation,,,
Apple Sherbet,Hybrid,4.0,1,,,,,,,,,,,,,,,,,,,,21%,—,
Blueberry Afgoo,,5.0,2,,,,,,,,,,,,,,,,,,,,16%,,1%
White Bubblegum,Indica,5.0,3,Bubble Gum,Snow White,,,Energetic,Hungry,Euphoric,Creative,Aroused,Dry,,,,,Depression,Fatigue,Headaches,Inflammation,Insomnia,17%,,1%
Lion's Mane,Hybrid,4.8,5,,,,,Tingly,Happy,Uplifted,Focused,Euphoric,Cramps,Depression,Headaches,Inflammation,Muscle,,,,,,23%,,1%
Spliff’s Strawberry,Sativa,4.7,6,Jack Herer,Strawberry Cough,,,Talkative,Happy,Focused,Euphoric,Energetic,Fatigue,Lack,Stress,,,,,,,,21%,,1%
Lemon Kush Headband,Hybrid,4.7,9,Headband,Super Bud,,,Relaxed,Happy,Euphoric,Uplifted,Focused,Dry,Headache,,,,Depression,Stress,Anxiety,Pain,Cramps,20%,,1%
Coconut Oil,Hybrid,4.3,9,SFV OG,N/A,,,Relaxed,Aroused,Happy,Euphoric,Hungry,Headache,,,,,Depression,Stress,,,,,,
Dagwood,Hybrid,5.0,2,,,,,Relaxed,Hungry,Happy,Giggly,Uplifted,,,,,,,,,,,16%,—,
Sour D*OG,Hybrid,5.0,1,Rare Dankness #1,East Coast Sour Diesel,,,,,,,,,,,,,,,,,,20%,,1%
Pink Sunset,Indica,4.7,13,Sherbert,N/A,,,Relaxed,Happy,Tingly,Euphoric,Uplifted,Dry,Anxious,Paranoid,,,Insomnia,Stress,Depression,Headaches,Inflammation,16%,—,
Pop Tarts,Hybrid,4.9,7,,,,,Hungry,Euphoric,Uplifted,Happy,Relaxed,Dry,Dry,Headache,,,,,,,,,,
Sour Grape,Hybrid,4.2,204,Sour Diesel,Granddaddy Purple,,,Happy,Relaxed,Uplifted,Euphoric,Creative,Dry,Dry,Paranoid,Anxious,Dizzy,Stress,Pain,Anxiety,Depression,Insomnia,19%,,1%
Purple Wookie,Hybrid,4.7,6,,,,,Uplifted,Talkative,Happy,Focused,Euphoric,,,,,,,,,,,11%,—,
Koko Kush,,,,,,,,,,,,,,,,,,,,,,,19%,,1%
Quiver Killer Kush,Hybrid,4.5,2,OG Kush,Chemdawg,,,Uplifted,Talkative,Happy,Euphoric,Energetic,Depression,Insomnia,Lack,Stress,,,,,,,18%,,1%
Watermelon,Indica,4.4,255,,,,,Relaxed,Happy,Sleepy,Euphoric,Hungry,Dry,Dry,Dizzy,Headache,Paranoid,Stress,Pain,Anxiety,Insomnia,Depression,21%,,1%
Dawg's Waltz,Hybrid,4.5,52,Purple Urkle,Tres Dawg,,,Relaxed,Happy,Euphoric,Sleepy,Tingly,Dry,Dry,Dizzy,Anxious,Headache,Pain,Stress,Insomnia,Anxiety,Depression,24%,,1%
Peanut Butter Breath,Hybrid,4.6,143,Do-Si-Dos,Mendo Breath,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Dizzy,Anxious,Headache,Anxiety,Stress,Depression,Lack,Pain,20%,,1%
Urkle Berry,Hybrid,,,Blueberry,Purple Urkle,,,,,,,,,,,,,,,,,,14%,—,
Pineapple Haze,Sativa,4.3,89,Haze,Pineapple,,,Happy,Uplifted,Relaxed,Energetic,Euphoric,Dry,Dizzy,Dry,Headache,Paranoid,Stress,Depression,Lack,Pain,Headaches,16%,,1%
Wedding Animal,,5.0,1,,,,,,,,,,,,,,,,,,,,,,
CBD Critical Mass,Indica,4.7,63,Critical Mass,N/A,,,Relaxed,Happy,Uplifted,Sleepy,Euphoric,Dry,Dizzy,Dry,,,Anxiety,Pain,Stress,Inflammation,Muscle,6%,9%,
Grapefruit Sour Dream,Hybrid,4.5,11,Blue Dream,Cookies and Cream,,,Uplifted,Happy,Euphoric,Focused,Energetic,Anxious,Dizzy,Headache,Paranoid,,Fatigue,Pain,Stress,Depression,Lack,,,
Deep Purple Punch,Hybrid,,,,,,,,,,,,,,,,,,,,,,15%,—,
Blues,Hybrid,3.8,36,,,,,Happy,Relaxed,Talkative,Uplifted,Sleepy,Dry,Dizzy,Paranoid,Dry,Headache,Pain,Stress,Depression,Anxiety,Headaches,22%,,1%
Triple Platinum,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Cindy Le Pew,Hybrid,,,Cinderella 99,N/A,,,,,,,,,,,,,,,,,,,,
Diabla,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
WMD,Indica,4.8,20,Big Bud,Fucking Incredible,,,Relaxed,Happy,Uplifted,Tingly,Sleepy,Dry,Dry,,,,Stress,Pain,Depression,Anxiety,Headaches,,,
Bloo's Kloos,Indica,4.7,20,Northern Lights,Blueberry,Double Tap,G.1000,Creative,Relaxed,Uplifted,Happy,Energetic,Cramps,Eye,Inflammation,Muscle,Pain,,,,,,,,
Lemon Gorilla Princess,,,,,,,,,,,,,,,,,,,,,,,20%,—,
Grape Gobstopper Kush,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Red Dragon,Hybrid,4.2,369,Afghani,South American,Dragon OG,Red Widow,Happy,Uplifted,Euphoric,Relaxed,Energetic,Dry,Dry,Paranoid,Dizzy,Anxious,Stress,Depression,Pain,Anxiety,Nausea,18%,,1%
Godberry,Indica,4.5,97,Blueberry,N/A,,,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Dry,Dry,Headache,Paranoid,Dizzy,Pain,Stress,Insomnia,Anxiety,Depression,15%,,1%
North American Indica,Indica,4.5,13,,,,,Relaxed,Focused,Uplifted,Sleepy,Happy,Dry,Dry,Dizzy,Headache,Paranoid,Insomnia,Pain,Depression,Fatigue,Stress,,,
Triangle Mints,Hybrid,4.9,14,Animal Mints,Triangle Kush,,,Uplifted,Focused,Energetic,Relaxed,Hungry,Dizzy,Dry,Dry,,,Depression,Pain,Stress,Anxiety,Fatigue,,,
Whoa Si Whoa,Hybrid,,,,,,,,,,,,,,,,,,,,,,25%,—,
Skunky Diesel,Hybrid,4.2,24,Haze,Skunk 1,,,Uplifted,Happy,Talkative,Relaxed,Hungry,Dry,Dry,Dizzy,Paranoid,,Anxiety,Stress,Pain,Depression,Insomnia,18%,,1%
Vincent Vega,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Blue Champagne,Hybrid,4.2,66,Blue Dream,Champagne Kush,,,Happy,Uplifted,Euphoric,Creative,Focused,Dry,Dry,Paranoid,Anxious,Headache,Anxiety,Stress,Depression,Pain,Fatigue,,,
Northern Lights #5 x Haze,Sativa,4.5,52,Haze,Northern Lights #5,,,Happy,Energetic,Uplifted,Relaxed,Creative,Dry,Dizzy,Dry,Anxious,Paranoid,Stress,Depression,Anxiety,Fatigue,Headaches,20%,,1%
Nepali Pink,Hybrid,3.8,4,,,,,,,,,,,,,,,,,,,,14%,—,
Moon Drops,Hybrid,4.7,7,Do-Si-Dos,Purple Urkle,,,Relaxed,Happy,Euphoric,Focused,Uplifted,Dizzy,Dry,,,,Pain,Headaches,Stress,Depression,Insomnia,19%,,1%
Tangerine Sunrise,Sativa,4.6,10,,,,,Happy,Relaxed,Uplifted,Euphoric,Creative,Dry,,,,,Depression,Fatigue,Pain,Stress,ADD,,,
Str8 Lemonade,,4.2,5,,,,,Happy,Energetic,Uplifted,Giggly,Creative,,,,,,,,,,,,,
Blockhead,Hybrid,4.0,75,Sweet Tooth,N/A,Snow Lotus,Dream Beaver,Relaxed,Sleepy,Happy,Euphoric,Hungry,Dry,Dry,Dizzy,Headache,Paranoid,Anxiety,Stress,Pain,Depression,Insomnia,18%,—,
Sour Willie,Sativa,4.5,43,Sour Diesel,Willie Nelson,,,Happy,Energetic,Uplifted,Euphoric,Relaxed,Dry,Dry,Headache,Anxious,Dizzy,Lack,Depression,Pain,Stress,Anxiety,,,
Double Cup,,5.0,1,,,,,,,,,,,,,,,,,,,,,,
Florida OG,Hybrid,4.6,8,,,,,Uplifted,Relaxed,Euphoric,Creative,Happy,Dry,Dry,Headache,,,,,,,,22%,,1%
Sweet Gold,,,,,,,,,,,,,,,,,,,,,,,19%,,2%
Strawberry Cake,Hybrid,4.7,13,,,,,Relaxed,Happy,Focused,Euphoric,Uplifted,Depression,Pain,Stress,Anxiety,PTSD,,,,,,16%,,1%
Krypto Chronic,Hybrid,4.7,3,,,,,,,,,,,,,,,,,,,,,,
The Cure,Hybrid,,,,,,,,,,,,,,,,,,,,,,20%,,1%
Elmer's Glue,Hybrid,4.5,63,GG4,The White,,,Relaxed,Uplifted,Happy,Hungry,Euphoric,Dry,Dry,Anxious,Dizzy,Headache,Stress,Pain,Anxiety,Depression,Inflammation,21%,—,
Purple Tide,Hybrid,1.0,1,OG Kush,Granddaddy Purple,,,,,,,,,,,,,,,,,,,,
Citrus Farmer,Hybrid,4.0,13,,,,,Happy,Energetic,Uplifted,Euphoric,Creative,Dry,,,,,Depression,Fatigue,Lack,Stress,Anxiety,21%,,1%
Wedding Pie,Hybrid,4.6,38,,,,,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Anxious,Dry,Dry,Paranoid,,Anxiety,Stress,Depression,Insomnia,Pain,26%,,1%
Cherry Moon Pie,Indica,5.0,2,Bubba Kush,Cherry Pie,,,Happy,Giggly,Creative,Relaxed,Focused,Depression,Fatigue,Pain,Stress,Anxiety,,,,,,19%,,1%
GI001,Hybrid,5.0,13,,,,,Energetic,Creative,Uplifted,Happy,Focused,Inflammation,Seizures,Epilepsy,PTSD,Headaches,,,,,,,,
Boss Hogg,Hybrid,4.5,66,,,,,Relaxed,Euphoric,Happy,Uplifted,Creative,Dry,Dry,Headache,,,Stress,Pain,Anxiety,Depression,ADD,20%,—,
Mad Dawg,Hybrid,4.3,29,Starfighter,Lemon Alien Dawg,,,Happy,Relaxed,Euphoric,Uplifted,Sleepy,Dry,Dry,Headache,Anxious,Paranoid,Stress,Depression,Insomnia,Anxiety,Pain,20%,—,
Rise ‘n’ Shine,Hybrid,4.7,7,Green Crack,Sour Bubble,,,Talkative,Happy,Giggly,Uplifted,Tingly,Dry,Dry,,,,Depression,Fatigue,Cramps,Eye,Headaches,,,
TJ's CBD,Hybrid,4.4,21,,,,,Relaxed,Happy,Uplifted,Focused,Talkative,Headache,Dry,Dry,,,Stress,Pain,Depression,Inflammation,Anxiety,1%,13%,
GT Dragon,,,,,,,,,,,,,,,,,,,,,,,19%,,1%
Funk 'n Blueberry,,,,,,,,,,,,,,,,,,,,,,,24%,—,
Alpine OG,Indica,4.2,28,Tahoe OG,Sensi Star,,,Uplifted,Relaxed,Euphoric,Happy,Creative,Dry,Dry,Anxious,Headache,Paranoid,Anxiety,Depression,Stress,Fatigue,Pain,17%,—,
El Fuego,Hybrid,5.0,1,,,,,Happy,Focused,Energetic,,,,,,,,,,,,,19%,,1%
Lemon Bean,Sativa,4.7,15,,,,,Energetic,Uplifted,Happy,Talkative,Euphoric,Anxiety,Depression,Stress,Bipolar,PMS,,,,,,22%,,1%
Russian Assassin,Indica,4.8,25,Headband,Lemon OG,,,Euphoric,Relaxed,Uplifted,Sleepy,Happy,Dry,Anxious,Dry,Headache,Paranoid,Anxiety,Pain,Fatigue,Lack,Nausea,20%,—,
Skunk Ape,Indica,4.3,23,GG4,LVPK,,,Relaxed,Happy,Euphoric,Tingly,Uplifted,Dry,Dry,,,,Pain,Stress,Anxiety,Inflammation,Arthritis,18%,,1%
Shishka Blues,Indica,,,,,,,,,,,,,,,,,,,,,,,,
Glueberry,Hybrid,4.3,6,,,,,Focused,Uplifted,Talkative,Relaxed,Euphoric,Depression,Fatigue,Headaches,Inflammation,Pain,,,,,,20%,,1%
Strawberry Diesel Cookies,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Fast Caramelic,Hybrid,,,Big Bud,N/A,,,,,,,,,,,,,,,,,,,,
Jean Guy,Hybrid,4.4,302,White Widow,N/A,,,Happy,Euphoric,Uplifted,Energetic,Creative,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Pain,Anxiety,Depression,Fatigue,17%,,1%
Ice Cream Man,Indica,4.7,40,,,,,Happy,Relaxed,Euphoric,Uplifted,Hungry,Dry,Dry,Headache,Paranoid,,Anxiety,Insomnia,Depression,Stress,Lack,21%,,1%
Bubba Cookies,Hybrid,4.4,7,GSC,Bubba Kush,,,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Pain,Cramps,Lack,Nausea,Stress,,,,,,21%,,1%
Haze Wreck,Sativa,4.6,16,Trainwreck,Haze,,,Uplifted,Talkative,Happy,Focused,Energetic,Dry,Dry,Dizzy,,,Stress,Depression,Lack,Pain,Fatigue,14%,—,
Slyfi,,,,,,,,,,,,,,,,,,,,,,,,,
Bedica,Indica,4.3,18,,,,,Relaxed,Happy,Sleepy,Hungry,Focused,Dry,Dry,Dizzy,Headache,,Pain,Inflammation,Arthritis,Insomnia,Stress,22%,—,
Dosi-Whip,,,,,,,,,,,,,,,,,,,,,,,,,
Road Dawg,Hybrid,4.7,23,Stardawg,Biker Kush,,,Happy,Relaxed,Euphoric,Uplifted,Hungry,Dizzy,Dry,Dry,Anxious,Headache,Stress,Lack,Insomnia,Depression,Headaches,17%,,1%
Voyager #1,Hybrid,,,,,,,,,,,,,,,,,,,,,,27%,,2%
Aurora Indica,Indica,4.3,102,Northern Lights,Afghani,,,Relaxed,Sleepy,Happy,Euphoric,Hungry,Dry,Dry,Paranoid,Anxious,Dizzy,Stress,Pain,Insomnia,Depression,Anxiety,15%,,1%
Master Jedi,Indica,4.4,74,Master Kush,Jedi Kush,,,Relaxed,Happy,Euphoric,Uplifted,Hungry,Dry,Dry,Anxious,Paranoid,,Stress,Depression,Pain,Insomnia,Lack,,,
Lemon Bubble,Sativa,4.4,43,Super Lemon Haze,Silver Bubble,,,Happy,Energetic,Talkative,Euphoric,Uplifted,Dry,Paranoid,Anxious,Dizzy,Dry,Stress,Depression,Headaches,Muscle,Pain,14%,—,
Pink Panther,Hybrid,4.5,93,,,,,Happy,Euphoric,Relaxed,Uplifted,Creative,Dry,Dry,Dizzy,Anxious,Paranoid,Depression,Stress,Anxiety,Lack,Insomnia,20%,,1%
Atomic,Hybrid,4.7,12,OG Kush,Chemdawg,,,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Dry,Dry,,,,Depression,Insomnia,Stress,Anxiety,Headaches,13%,—,
The Cube,Hybrid,5.0,1,,,,,Sleepy,Relaxed,Happy,Euphoric,,,,,,,,,,,,17%,,1%
Duct Tape,Hybrid,4.8,99,GG4,Do-Si-Dos,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Anxious,Headache,Paranoid,Pain,Stress,Anxiety,Insomnia,PTSD,24%,,1%
Guard Dawg,Indica,4.2,18,Abusive OG,N/A,,,Relaxed,Sleepy,Happy,Tingly,Giggly,Dizzy,Dry,,,,Anxiety,Insomnia,Stress,Depression,Lack,22%,,1%
Cherry Chem,Hybrid,4.7,10,,,,,Uplifted,Relaxed,Focused,Happy,Creative,Anxious,Dizzy,Dry,Dry,Headache,Stress,Anxiety,Depression,Lack,Pain,20%,—,
Marionberry Kush,Hybrid,4.5,173,Space Queen,Raspberry Kush,,,Relaxed,Happy,Uplifted,Euphoric,Creative,Dry,Dry,Anxious,Dizzy,Headache,Stress,Depression,Anxiety,Insomnia,Pain,18%,,1%
Lemon Fire,Hybrid,4.6,13,,,,,Relaxed,Happy,Euphoric,Uplifted,Focused,Dry,Dry,Headache,,,Depression,Headaches,Lack,Pain,Stress,19%,,1%
Slurpie,Hybrid,4.0,2,Sherbert,Granddaddy Purple,,,,,,,,,,,,,,,,,,,,
Mazar Kush,Indica,4.3,68,Afghani,Mazar I Sharif,,,Relaxed,Sleepy,Happy,Uplifted,Euphoric,Dry,Dry,Anxious,Paranoid,Headache,Pain,Stress,Headaches,Insomnia,Nausea,12%,—,
Geist OG,,,,,,,,,,,,,,,,,,,,,,,19%,,1%
Le Mans,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow Cookie,,4.5,2,,,,,Relaxed,Hungry,Happy,Euphoric,,Dry,,,,,Depression,Insomnia,Lack,Stress,Anxiety,19%,—,
Gelato Cake,Hybrid,4.8,49,Wedding Cake,Gelato #33,,,Relaxed,Happy,Sleepy,Euphoric,Hungry,Dry,Dry,,,,Anxiety,Stress,Insomnia,Depression,Lack,21%,,1%
Kush Mints,Hybrid,4.7,58,Bubba Kush,Animal Mints,LA Kush Cake,Lemon Mints,Relaxed,Happy,Euphoric,Uplifted,Hungry,Dry,Dry,,,,Stress,Lack,Pain,Anxiety,Gastrointestinal,27%,,1%
Dreadlock,Hybrid,4.0,3,,,,,Relaxed,Focused,Uplifted,Tingly,Talkative,Dry,Dry,,,,Stress,Depression,Pain,Anxiety,Bipolar,21%,—,
Cotton Candy Cane,Hybrid,4.0,1,Blueberry Headband,Sweet Tooth,,,,,,,,,,,,,,,,,,17%,,1%
Grape Inferno,Indica,4.5,39,Querkle,N/A,,,Relaxed,Happy,Euphoric,Sleepy,Hungry,Dry,Dry,Anxious,Dizzy,Paranoid,Pain,Stress,Anxiety,Insomnia,PTSD,20%,,1%
Cat Lady,Hybrid,,,,,,,,,,,,,,,,,,,,,,—,15%,
Golden Haze,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Carnival,Sativa,4.6,12,Haze,N/A,,,Uplifted,Talkative,Happy,Euphoric,Energetic,Dizzy,Headache,,,,Depression,Eye,Fatigue,Insomnia,Lack,16%,,1%
Bronze Whaler,Indica,,,,,,,,,,,,,,,,,,,,,,,,
Milk Bone,Hybrid,4.0,4,,,,,Uplifted,Relaxed,Hungry,Happy,,Dizzy,Dry,,,,Anxiety,Depression,Headaches,Pain,Stress,23%,,1%
Muhammad Ali,,,,,,,,,,,,,,,,,,,,,,,23%,—,
Sherbnado,,5.0,2,,,,,,,,,,,,,,,,,,,,16%,,1%
Banana Trail Mix,Hybrid,4.6,5,,,,,Uplifted,Happy,Euphoric,Tingly,Giggly,Anxiety,Stress,Depression,Seizures,Bipolar,,,,,,,,
Six Shooter,Hybrid,4.6,7,Northern Lights,Trainwreck,,,Creative,Uplifted,Relaxed,Happy,Focused,Depression,Headaches,Stress,Fatigue,Lack,,,,,,15%,—,
Loud Scout,Hybrid,4.1,16,GSC,Platinum OG,,,Happy,Euphoric,Uplifted,Relaxed,Energetic,Headache,Dry,Dry,,,Anxiety,Depression,Fatigue,Headaches,Nausea,17%,—,
Monster OG,Hybrid,4.9,49,OG Kush,SFV OG,,,Relaxed,Hungry,Euphoric,Happy,Uplifted,Dry,Dry,Dizzy,Paranoid,Headache,Pain,Anxiety,Depression,Stress,Insomnia,31%,,1%
Mystical Melody,Hybrid,5.0,5,,,,,,,,,,,,,,,,,,,,,,
Gorilla Balls,Hybrid,,,,,,,,,,,,,,,,,,,,,,17%,—,
Gummy Bears,Hybrid,4.1,44,Strawberry Banana,True OG,,,Relaxed,Happy,Euphoric,Uplifted,Tingly,Dry,Dizzy,Dry,Paranoid,Anxious,Depression,Anxiety,Stress,ADD,PTSD,20%,,1%
California Gold,Indica,4.7,3,,,,,Relaxed,Happy,Euphoric,Uplifted,Tingly,Dry,,,,,Depression,Eye,Fatigue,Pain,Stress,15%,—,
Tangier Chilly,Hybrid,5.0,2,Tangie,Larry OG,,,Talkative,Creative,Uplifted,Sleepy,Relaxed,Dry,Dry,,,,Depression,Inflammation,Lack,ADD,,,,
Sapphire Star,Hybrid,4.4,25,God Bud,Blue Hawaiian,,,Happy,Uplifted,Giggly,Focused,Euphoric,Dry,Anxious,Dizzy,Dry,Paranoid,Stress,Depression,Headaches,Lack,Pain,22%,,1%
GDP Electric,Hybrid,5.0,3,Granddaddy Purple,Kaua’i Electric,,,Uplifted,Tingly,Sleepy,Relaxed,Euphoric,,,,,,,,,,,,,
Banana Cream OG,Hybrid,4.5,33,Blue Dream,Banana OG,,,Relaxed,Euphoric,Sleepy,Happy,Creative,Dry,Dizzy,Dry,,,Stress,Depression,Insomnia,Pain,Anxiety,29%,,1%
Sonic Screwdriver,Sativa,4.6,22,Trainwreck,Orange Cream,,,Happy,Uplifted,Euphoric,Giggly,Energetic,Dry,Dizzy,,,,Anxiety,Pain,Stress,Migraines,PTSD,17%,—,
Azure Haze,Hybrid,4.4,14,Blueberry,Super Silver Haze,,,Uplifted,Relaxed,Happy,Euphoric,Focused,Dry,Dizzy,Anxious,Dry,,Depression,Insomnia,Stress,ADD,Pain,17%,,1%
Pruno,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Peppermint Pie,,,,,,,,,,,,,,,,,,,,,,,27%,,1%
Flodawg,,,,,,,,,,,,,,,,,,,,,,,,,
Wildberry,Hybrid,4.5,2,,,,,,,,,,,,,,,,,,,,14%,—,
Orange Blossom,Hybrid,4.4,36,OG Kush,Orange Bud,,,Relaxed,Happy,Uplifted,Euphoric,Hungry,Dry,Dry,,,,Depression,Nausea,Stress,Pain,Anxiety,21%,,1%
Green Crack CBD,Hybrid,4.2,10,Green Crack,N/A,,,Relaxed,Focused,Euphoric,Talkative,Energetic,Dry,Dry,,,,Depression,Fatigue,Inflammation,Pain,Stress,19%,,1%
Hawaiian Diesel,Sativa,4.3,35,Sour Diesel,Hawaiian,,,Happy,Relaxed,Energetic,Euphoric,Uplifted,Dry,Anxious,Dry,Dizzy,,Stress,Anxiety,Insomnia,Lack,Pain,16%,,1%
Purple Banana Cookies,,,,,,,,,,,,,,,,,,,,,,,,,
Renegade Rx CBD,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Chem Cookies,Hybrid,4.4,19,GSC,Chemdawg,,,Relaxed,Uplifted,Happy,Euphoric,Tingly,Dry,Dry,Headache,,,Pain,Stress,Anxiety,Depression,Muscle,22%,,1%
Sweet Tart,Hybrid,5.0,1,Afghani,Purple Thai,,,Uplifted,Tingly,Talkative,Relaxed,Happy,Dry,Dry,,,,Depression,Headaches,Lack,Pain,Stress,18%,—,
Nectarine Lips,Sativa,4.6,10,,,,,Happy,Focused,Euphoric,Creative,Relaxed,Dizzy,Dry,Headache,,,Stress,Depression,Lack,ADD,Anxiety,18%,—,
Mimosa,Hybrid,4.5,690,Purple Punch,Clementine,Orange Cake,Gran Champagne,Happy,Uplifted,Energetic,Relaxed,Focused,Dry,Dry,Anxious,Paranoid,Dizzy,Anxiety,Depression,Stress,Pain,Fatigue,19%,,1%
Strawberry Ice,Sativa,4.6,65,,,,,Focused,Happy,Euphoric,Uplifted,Energetic,Dry,Dizzy,Dry,Paranoid,Anxious,Stress,Depression,Fatigue,Anxiety,Lack,18%,,1%
Khalifa Kush,Hybrid,4.6,634,,,,,Happy,Relaxed,Euphoric,Uplifted,Creative,Dry,Dry,Dizzy,Anxious,Headache,Stress,Depression,Pain,Anxiety,Lack,20%,,1%
Jet-A,Hybrid,4.7,3,,,,,Uplifted,Relaxed,Euphoric,Hungry,Focused,Dry,Anxious,,,,Depression,Lack,Stress,,,19%,,1%
Yellow Fruit Stripe,Hybrid,4.6,5,,,,,Happy,Uplifted,Talkative,Relaxed,Focused,Dry,,,,,Migraines,,,,,22%,—,
‘88 G13 Hashplant,Hybrid,4.2,6,G13,Hash Plant,,,Tingly,Relaxed,Uplifted,Talkative,Sleepy,Dry,,,,,Anxiety,Depression,Fatigue,Headaches,Insomnia,19%,—,
Khyber Kush,Hybrid,,,Rare Dankness #1,N/A,,,,,,,,,,,,,,,,,,19%,,1%
Big Lemon,,,,,,,,,,,,,,,,,,,,,,,22%,,1%
Brownie Scout,Hybrid,4.7,37,Platinum Cookies,Kosher Kush,,,Relaxed,Sleepy,Euphoric,Happy,Hungry,Dry,Dizzy,Dry,Headache,Paranoid,Pain,Anxiety,Inflammation,Insomnia,Lack,,,
The Guice,Hybrid,4.9,15,,,,,Euphoric,Relaxed,Focused,Uplifted,Giggly,Dry,Dry,,,,Stress,Depression,Fatigue,Headaches,Lack,19%,,1%
Chuck OG,Hybrid,4.8,8,Tahoe OG,Afghani,,,Uplifted,Relaxed,Euphoric,Creative,Tingly,Dry,,,,,,,,,,18%,—,
The Wife,Hybrid,4.7,49,,,,,Relaxed,Happy,Uplifted,Focused,Euphoric,Dry,Dry,Anxious,Dizzy,Headache,Pain,Stress,Headaches,Inflammation,Muscle,,,
Big Bull,Indica,3.3,3,Skunk 1,Black Domina,,,Focused,Relaxed,Aroused,Uplifted,Tingly,Dry,,,,,Lack,ADD,PTSD,,,,,
Big Mac,Indica,4.4,8,BC Big Bud,N/A,,,Relaxed,Tingly,Talkative,Sleepy,Hungry,Anxious,,,,,Depression,Pain,Stress,Anxiety,PTSD,17%,—,
Pie Til I Die,Hybrid,2.5,2,Deadhead OG,Pie 95,,,Depression,Stress,Arthritis,PTSD,,,,,,,,,,,,,,
Margaret Cho-G,Hybrid,4.8,4,OG Kush,N/A,,,Relaxed,Focused,Euphoric,Uplifted,Talkative,Dry,Dry,,,,Depression,Pain,Stress,Arthritis,Cramps,,,
Orange Turbo,Hybrid,4.4,17,,,,,Happy,Relaxed,Uplifted,Focused,Energetic,Dry,Dry,,,,Anxiety,ADD,Depression,Fatigue,Lack,17%,,1%
Garlic Sherbet,,4.8,4,,,,,Relaxed,Focused,Euphoric,Uplifted,Tingly,Stress,Anxiety,,,,,,,,,25%,,1%
Spritzer,Hybrid,4.4,5,,,,,Uplifted,Relaxed,Happy,Talkative,Focused,Depression,Stress,Anxiety,Inflammation,Lack,,,,,,19%,,1%
Jack Hammer,Hybrid,,,Amnesia Haze,Sannie's Jack,,,,,,,,,,,,,,,,,,14%,—,
Mega Jackpot,Hybrid,4.1,19,Jack Herer,Northern Lights,,,Relaxed,Happy,Euphoric,Creative,Talkative,Dry,,,,,Depression,Lack,Anxiety,Nausea,Stress,18%,,1%
Platinum Cake,Hybrid,4.6,5,Wedding Cake,Platinum OG,,,Uplifted,Tingly,Focused,Euphoric,,,,,,,,,,,,20%,,1%
Super Silver Lights,Hybrid,4.2,5,Northern Lights,Super Silver Haze,,,Happy,Uplifted,Relaxed,Creative,Giggly,Dry,,,,,Muscle,Depression,Headaches,Inflammation,Stress,16%,,1%
Silvertip,Hybrid,4.5,131,Granddaddy Purple,Super Silver Haze,,,Relaxed,Happy,Uplifted,Euphoric,Creative,Dry,Dry,Anxious,Headache,,Stress,Pain,Depression,Anxiety,Fatigue,21%,,1%
Jillybean,Hybrid,4.2,989,Space Queen,Orange Velvet,Ultra Violence,Blue J,Happy,Uplifted,Euphoric,Energetic,Creative,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Depression,Anxiety,Pain,Fatigue,16%,—,
