Strain Name,Type,Rating,Rating Users,Left Parent,Right parent,Left Child,Right Child,Feeling_1,Feeling_2,Feeling_3,Feeling_4,Feeling_5,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Helps with_1,Helps with_2,Helps with_3,Helps with_4,Helps with_5,THC,CBD,CBG
Alion,Hybrid,4.4,5,Blue Dream,Alien Kush,,,Uplifted,Relaxed,Happy,Tingly,Talkative,Anxious,Paranoid,Dizzy,Dry,Headache,Depression,Fatigue,Headaches,Inflammation,Insomnia,16%,,1%
Chong Star,Hybrid,4.5,25,,,,,Relaxed,Happy,Uplifted,Euphoric,Creative,Stress,Pain,Anxiety,Depression,Lack,,,,,,,,
Glass Slipper,Hybrid,4.3,245,Cinderella 99,Pineapple,Glass Apple,White Slipper,Uplifted,Happy,Euphoric,Relaxed,Energetic,Dry,Dry,Headache,Anxious,Dizzy,Depression,Stress,Anxiety,Pain,PTSD,16%,—,
White Papaya,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,23%,,1%
Early Queen,Hybrid,,,,,,,,,,,,,,,,,,,,,,1%,17%,
Hardcore OG,Indica,4.6,124,Big Bud,DJ Short Blueberry,,,Relaxed,Happy,Sleepy,Euphoric,Hungry,Dry,Dry,Dizzy,Headache,Anxious,Stress,Pain,Insomnia,Depression,Headaches,20%,—,
G-Force,Indica,5.0,4,Northern Lights,G13,,,Relaxed,Hungry,Happy,Focused,Euphoric,Dry,Dry,,,,Lack,Pain,Stress,ADD,Anxiety,16%,—,
Red Velvet Pie,Hybrid,5.0,11,Cherry Pie,N/A,,,Happy,Euphoric,Uplifted,Giggly,Relaxed,Depression,Insomnia,Stress,,,,,,,,21%,—,
Irish Cream,Indica,4.7,13,,,,,Relaxed,Uplifted,Happy,Euphoric,Hungry,Dry,Headache,Paranoid,,,Depression,Stress,Muscle,Arthritis,Eye,26%,,1%
Electric Velvet,Hybrid,,,,,,,,,,,,,,,,,,,,,,19%,,1%
Orange Bud,Hybrid,4.2,250,Skunk 1,N/A,Orange Kush,Passion Fruit,Happy,Euphoric,Uplifted,Energetic,Creative,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Pain,Anxiety,Depression,Insomnia,19%,,1%
OGKB,Hybrid,4.4,60,GSC,N/A,Do-Si-Dos,Mendo Breath,Relaxed,Happy,Euphoric,Sleepy,Hungry,Dry,Dry,Dizzy,Anxious,Paranoid,Pain,Stress,Depression,Insomnia,Anxiety,24%,,1%
Jack's Cleaner,Sativa,4.2,80,Jack Herer,N/A,Jack the Ripper,3D,Euphoric,Happy,Energetic,Focused,Uplifted,Dry,Dry,Paranoid,Anxious,Dizzy,Stress,Pain,Anxiety,Depression,Fatigue,16%,,1%
Space Face,Indica,4.7,3,Face Off OG,Mazar x Blueberry,,,Relaxed,Happy,Giggly,Euphoric,,,,,,,,,,,,13%,—,
More Cowbell,Hybrid,4.7,7,GSC,Hash Plant,,,Euphoric,Uplifted,Relaxed,Creative,Happy,Dry,Dry,,,,Inflammation,Pain,Stress,Multiple,,17%,,2%
Huckleberry Hound,Hybrid,4.7,3,Chemdawg,Blueberry,,,Relaxed,Happy,Euphoric,Tingly,Sleepy,Dry,Dry,,,,Headaches,Lack,Pain,Stress,Anxiety,,,
Laughing Buddha,Sativa,4.5,245,Thai,Jamaican,,,Happy,Uplifted,Energetic,Giggly,Euphoric,Dry,Dry,Dizzy,Paranoid,Anxious,Depression,Stress,Anxiety,Fatigue,Pain,20%,,2%
Strange OG,,,,,,,,,,,,,,,,,,,,,,,22%,,1%
Spec Ops,Indica,5.0,7,,,,,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Pain,Stress,Anxiety,Depression,Inflammation,,,,,,1%,15%,
Armageddon,Hybrid,3.7,44,,,,,Relaxed,Happy,Euphoric,Hungry,Uplifted,Dry,Dizzy,Dry,Paranoid,Anxious,Pain,Stress,Anxiety,Depression,Headaches,14%,,1%
Wedding Gelato,Hybrid,5.0,1,Wedding Cake,Gelato #33,,,,,,,,,,,,,,,,,,23%,—,
High Voltage,,1.0,1,,,,,,,,,,,,,,,,,,,,4%,7%,
Cosmic Collision,Sativa,4.4,17,,,,,Uplifted,Euphoric,Talkative,Relaxed,Energetic,Dizzy,Dry,Headache,,,Anxiety,Depression,Insomnia,Pain,Stress,,,
Ophelia,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Treat,Hybrid,4.3,1019,,,,,Euphoric,Happy,Relaxed,Uplifted,Creative,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Anxiety,Depression,Pain,Insomnia,19%,,1%
Violet Delight,Hybrid,4.5,77,Green Crack,Blueberry,,,Relaxed,Happy,Uplifted,Euphoric,Talkative,Dry,Dry,Anxious,Dizzy,Headache,Depression,Stress,Pain,Nausea,Anxiety,20%,,1%
Berry White,Indica,4.4,1134,White Widow,Blueberry,,,Relaxed,Happy,Euphoric,Uplifted,Creative,Dry,Dry,Paranoid,Dizzy,Anxious,Stress,Anxiety,Pain,Depression,Insomnia,17%,,1%
Purple Tangie,Sativa,4.6,54,Tangie,N/A,,,Uplifted,Happy,Euphoric,Energetic,Focused,Dry,Dry,Headache,Anxious,Dizzy,Depression,Stress,Fatigue,Pain,Anxiety,15%,,1%
Haze Queen,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Alien Reunion,Hybrid,4.9,11,Alien OG,Alien Dawg,,,Relaxed,Euphoric,Uplifted,Happy,Energetic,Dry,Dizzy,Dry,Headache,Paranoid,Headaches,Inflammation,Lack,Muscle,Pain,,,
Camelback OG,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Diesel,Hybrid,4.2,586,Lost Coast,California Sour,,,Happy,Euphoric,Uplifted,Relaxed,Focused,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Anxiety,Depression,Pain,Fatigue,19%,—,
Pakistan Valley,Indica,4.9,22,,,,,Relaxed,Happy,Sleepy,Uplifted,Euphoric,Dry,Dry,,,,Insomnia,Pain,ADD,PTSD,Depression,18%,,1%
Puta Breath,,5.0,2,,,,,Uplifted,Relaxed,Hungry,Happy,Focused,,,,,,,,,,,23%,,1%
