Strain Name,Type,Rating,Rating Users,Feeling_1,Feeling_2,Feeling_3,Feeling_4,Feeling_5,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Helps with_1,Helps with_2,Helps with_3,Helps with_4,Helps with_5,THC,CBD,CBG
purple-mac,,5.0,5,Happy,Euphoric,Relaxed,Creative,Uplifted,Pain,,,,,,,,,,,,
mule-fuel,Hybrid,4.8,8,Sleepy,Relaxed,Euphoric,Happy,Giggly,Anxiety,Depression,Pain,Headaches,Inflammation,,,,,,27%,,1%
strawberry-guava,Hybrid,4.8,16,Relaxed,Happy,Euphoric,Uplifted,Giggly,Anxiety,Asthma,PTSD,,,,,,,,22%,,1%
gutbuster,Indica,4.7,17,Relaxed,Euphoric,Tingly,Giggly,Creative,Anxious,Dry,Dry,Paranoid,,Stress,Depression,Insomnia,Pain,Anxiety,18%,,1%
shawnee-hills,Hybrid,4.0,2,,,,,,,,,,,,,,,,,,
